class,feature,abs_mean,rank
Benign,https,0.856616,1
Benign,ttl,0.714414,2
Benign,rate,0.561301,3
Benign,dns,0.435417,4
Benign,max,0.379418,5
Benign,psh,0.266088,6
Benign,proto_num,0.241665,7
Benign,ack,0.212799,8
Benign,tot_size,0.144116,9
Benign,ack_cnt,0.143356,10
Benign,header_len,0.14001,11
Benign,min,0.139198,12
Benign,avg,0.124472,13
Benign,iat,0.099013,14
Benign,syn_cnt,0.098867,15
Benign,fin,0.094554,16
Benign,std,0.092898,17
Benign,tot_sum,0.073222,18
Benign,var,0.067454,19
Benign,syn,0.062418,20
Benign,cwr,0.059288,21
Benign,fin_cnt,0.056616,22
Benign,ece,0.05523,23
Benign,num,0.05391,24
Benign,rst,0.049301,25
Benign,rst_cnt,0.048452,26
Benign,telnet,0.045991,27
Benign,udp,0.042644,28
Benign,arp,0.036939,29
Benign,smtp,0.036249,30
Benign,ssh,0.034916,31
Benign,irc,0.033873,32
Benign,ipv,0.031974,33
Benign,tcp,0.03096,34
Benign,icmp,0.030771,35
Benign,dhcp,0.029664,36
Benign,igmp,0.029614,37
Benign,llc,0.02924,38
Benign,http,0.026927,39
BruteForce,ssh,1.53914,1
BruteForce,max,0.81488,2
BruteForce,irc,0.574763,3
BruteForce,min,0.558789,4
BruteForce,rate,0.309419,5
BruteForce,psh,0.306894,6
BruteForce,avg,0.300641,7
BruteForce,https,0.246214,8
BruteForce,ack_cnt,0.220326,9
BruteForce,syn,0.21719,10
BruteForce,ttl,0.194644,11
BruteForce,rst,0.184732,12
BruteForce,dns,0.174291,13
BruteForce,num,0.171232,14
BruteForce,std,0.167797,15
BruteForce,header_len,0.164922,16
BruteForce,proto_num,0.160806,17
BruteForce,ack,0.158631,18
BruteForce,tot_size,0.149121,19
BruteForce,iat,0.135688,20
BruteForce,syn_cnt,0.129233,21
BruteForce,telnet,0.103457,22
BruteForce,http,0.097313,23
BruteForce,tot_sum,0.092574,24
BruteForce,fin,0.079806,25
BruteForce,fin_cnt,0.076555,26
BruteForce,var,0.073543,27
BruteForce,rst_cnt,0.07251,28
BruteForce,cwr,0.070938,29
BruteForce,ece,0.062693,30
BruteForce,udp,0.061106,31
BruteForce,smtp,0.058175,32
BruteForce,ipv,0.056134,33
BruteForce,icmp,0.054685,34
BruteForce,igmp,0.051782,35
BruteForce,llc,0.050815,36
BruteForce,dhcp,0.049687,37
BruteForce,arp,0.043643,38
BruteForce,tcp,0.042745,39
