model,class,precision,recall,f1,support
rf,Benign,0.6725978647686833,0.8146551724137931,0.7368421052631579,696.0
rf,BruteForce,0.7903225806451613,0.43555555555555553,0.5616045845272206,225.0
rf,DDoS,0.834072528045917,0.8256714876033058,0.8298507462686567,3872.0
rf,DoS,0.649559357179886,0.662962962962963,0.6561927206074889,1890.0
rf,Mirai,0.9981429897864438,0.9981429897864438,0.9981429897864438,1077.0
rf,Recon,0.6441515650741351,0.7083333333333334,0.6747195858498706,552.0
rf,Spoofing,0.9120370370370371,0.8491379310344828,0.8794642857142857,464.0
rf,Web,0.5741935483870968,0.39732142857142855,0.46965699208443273,224.0
rf,_accuracy,,,0.7848888888888889,
rf,_macro_avg,0.7593846838655451,0.7114726076576632,0.7258092512626946,
rf,_weighted_avg,0.7872803235703064,0.7848888888888889,0.7837010304966272,
rf,_roc_auc_macro_ovr,,,0.9694844987519857,
rf,_train_time_s,,,1.7235110410256311,
rf,_infer_ms_per_sample,,,0.008572361108640002,
rf,_model_size_mb,,,59.970339,
xgb,Benign,0.6812796208530806,0.8261494252873564,0.7467532467532467,696.0
xgb,BruteForce,0.6887417218543046,0.4622222222222222,0.5531914893617021,225.0
xgb,DDoS,0.8582109479305741,0.8300619834710744,0.843901798608376,3872.0
xgb,DoS,0.6734390485629336,0.719047619047619,0.695496417604913,1890.0
xgb,Mirai,0.9990706319702602,0.9981429897864438,0.9986065954482118,1077.0
xgb,Recon,0.6708407871198568,0.6793478260869565,0.6750675067506751,552.0
xgb,Spoofing,0.8984198645598194,0.8577586206896551,0.8776185226019846,464.0
xgb,Web,0.573170731707317,0.41964285714285715,0.4845360824742268,224.0
xgb,_accuracy,,,0.7993333333333333,
xgb,_macro_avg,0.7553966693197682,0.724046692966773,0.734396457450417,
xgb,_weighted_avg,0.8018322602091573,0.7993333333333333,0.7989079980352449,
xgb,_roc_auc_macro_ovr,,,0.9743384530785465,
xgb,_train_time_s,,,2.174753832980059,
xgb,_infer_ms_per_sample,,,0.0015757268863833614,
xgb,_model_size_mb,,,1.55992,
svm,Benign,0.5957894736842105,0.8132183908045977,0.6877278250303767,696.0
svm,BruteForce,0.8064516129032258,0.3333333333333333,0.4716981132075472,225.0
svm,DDoS,0.8356058657062001,0.8388429752066116,0.8372212914035314,3872.0
svm,DoS,0.6673762639701969,0.6634920634920635,0.665428495622181,1890.0
svm,Mirai,0.9990662931839402,0.9935004642525533,0.9962756052141527,1077.0
svm,Recon,0.5993640699523053,0.6829710144927537,0.6384419983065199,552.0
svm,Spoofing,0.7128953771289538,0.6314655172413793,0.6697142857142857,464.0
svm,Web,0.525,0.1875,0.27631578947368424,224.0
svm,_accuracy,,,0.7694444444444445,
svm,_macro_avg,0.7176936195661291,0.6430404698529115,0.6553529254965349,
svm,_weighted_avg,0.7720172174295695,0.7694444444444445,0.7646913682252902,
svm,_roc_auc_macro_ovr,,,0.9628605453507895,
svm,_train_time_s,,,63.777723250037525,
svm,_infer_ms_per_sample,,,0.8131397361091027,
svm,_model_size_mb,,,0.972698,
