class,feature,signed_mean,abs_mean,rank
Benign,proto_num,0.138852,0.139084,1
Benign,https,0.09444,0.095203,2
Benign,ttl,0.065825,0.08464,3
Benign,ack,-0.044041,0.066111,4
Benign,psh,0.04629,0.056315,5
Benign,rate,0.049242,0.055974,6
Benign,ack_cnt,0.053021,0.053617,7
Benign,max,0.028974,0.046048,8
Benign,tot_size,0.005318,0.040156,9
Benign,avg,0.021231,0.036143,10
Benign,iat,0.029192,0.030495,11
Benign,min,0.020575,0.028869,12
Benign,std,0.012191,0.027829,13
Benign,header_len,0.014309,0.023637,14
Benign,var,-0.008299,0.020909,15
Benign,tot_sum,0.018552,0.020102,16
Benign,syn,0.011549,0.017439,17
Benign,num,0.007011,0.014338,18
Benign,syn_cnt,0.001092,0.012003,19
Benign,dns,0.002088,0.01099,20
Benign,fin,0.008732,0.010815,21
Benign,telnet,0.009667,0.010188,22
Benign,ece,0.005616,0.009868,23
Benign,tcp,0.008662,0.009121,24
Benign,rst_cnt,0.007292,0.008833,25
Benign,fin_cnt,0.005175,0.007584,26
Benign,ssh,0.006398,0.006996,27
Benign,rst,0.00409,0.005951,28
Benign,udp,0.004643,0.005645,29
Benign,cwr,0.000475,0.005623,30
Benign,ipv,0.004511,0.005523,31
Benign,smtp,0.004449,0.005381,32
Benign,http,0.001746,0.005271,33
Benign,irc,0.003686,0.005206,34
Benign,llc,0.002521,0.005126,35
Benign,igmp,-0.002249,0.003581,36
Benign,dhcp,0.001401,0.003398,37
Benign,icmp,0.000742,0.002999,38
Benign,arp,0.000198,0.002989,39
BruteForce,ssh,0.096191,0.097163,1
BruteForce,proto_num,0.079676,0.081212,2
BruteForce,psh,0.066923,0.073723,3
BruteForce,ttl,0.053017,0.055468,4
BruteForce,header_len,0.05408,0.054811,5
BruteForce,min,0.051538,0.052446,6
BruteForce,https,0.043473,0.048071,7
BruteForce,tot_size,0.041756,0.047964,8
BruteForce,max,0.042484,0.04649,9
BruteForce,irc,0.043373,0.044463,10
BruteForce,syn,0.036243,0.041734,11
BruteForce,ack_cnt,0.037833,0.040239,12
BruteForce,ack,-0.000782,0.038992,13
BruteForce,avg,0.024598,0.032474,14
BruteForce,rate,0.012388,0.030708,15
BruteForce,std,0.016502,0.027544,16
BruteForce,rst,0.016828,0.019657,17
BruteForce,var,-0.011,0.017067,18
BruteForce,iat,-0.000906,0.015895,19
BruteForce,num,0.009739,0.014481,20
BruteForce,tot_sum,-0.004731,0.013961,21
BruteForce,fin,0.010314,0.011682,22
BruteForce,dns,-0.00139,0.009105,23
BruteForce,syn_cnt,0.002034,0.008942,24
BruteForce,rst_cnt,0.004806,0.007477,25
BruteForce,ece,-3.9e-05,0.007171,26
BruteForce,smtp,0.006364,0.006778,27
BruteForce,telnet,0.004797,0.005771,28
BruteForce,fin_cnt,0.001669,0.00544,29
BruteForce,tcp,0.00244,0.005408,30
BruteForce,udp,0.000792,0.005389,31
BruteForce,arp,-0.001384,0.00482,32
BruteForce,cwr,-0.002667,0.004544,33
BruteForce,icmp,0.000933,0.004177,34
BruteForce,http,0.000948,0.004167,35
BruteForce,igmp,-0.003664,0.004067,36
BruteForce,llc,-0.000139,0.003954,37
BruteForce,ipv,-0.001371,0.003771,38
BruteForce,dhcp,0.000111,0.002775,39
DDoS,num,0.163497,0.163497,1
DDoS,var,0.063187,0.064791,2
DDoS,syn_cnt,0.049477,0.0502,3
DDoS,max,0.03842,0.046307,4
