,2
DOS-UDP_FLOOD,3177323
0.0,2
MIRAI-GREETH_FLOOD,949381
MIRAI-UDPPLAIN,852695
DDOS-SYN_FLOOD,3886130
RECON-PORTSCAN,78730
DDOS-ICMP_FRAGMENTATION,433157
COMMANDINJECTION,5168
DDOS-SLOWLORIS,22400
DICTIONARYBRUTEFORCE,12522
5.9,1
SQLINJECTION,5022
RECON-OSSCAN,93970
DDOS-PSHACK_FLOOD,3920372
VULNERABILITYSCAN,357583
DDOS-UDP_FLOOD,5181027
DDOS-UDP_FRAGMENTATION,274909
XSS,3705
100,1
DOS-TCP_FLOOD,2558256
DNS_SPOOFING,171468
MIRAI-GREIP_FLOOD,719655
BROWSERHIJACKING,5630
DDOS-ACK_FRAGMENTATION,272793
DDOS-RSTFINFLOOD,3872808
DDOS-SYNONYMOUSIP_FLOOD,3445659
DDOS-ICMP_FLOOD,6893259
DOS-HTTP_FLOOD,68799
0.,2
DOS-SYN_FLOOD,1942176
BACKDOOR_MALWARE,3078
DDOS-HTTP_FLOOD,27597
UPLOADING_ATTACK,1196
RECON-PINGSWEEP,2161
BENIGN,1051373
RECON-HOSTDISCOVERY,128677
MITM-ARPSPOOFING,294469
22035.8516339,1
DDOS-TCP_FLOOD,4306086
TOTAL,45019243
