feature_set,model,class,f1,delta_vs_original
original,rf,Benign,0.755741127348643,0.0
original,rf,BruteForce,0.5604395604395604,0.0
original,rf,DDoS,0.8251425468368178,0.0
original,rf,DoS,0.6433915211970075,0.0
original,rf,Mirai,0.9980487804878048,0.0
original,rf,Recon,0.6833631484794276,0.0
original,rf,Spoofing,0.8888888888888888,0.0
original,rf,Web,0.4231884057971014,0.0
original,xgb,Benign,0.7515923566878981,0.0
original,xgb,BruteForce,0.5520833333333334,0.0
original,xgb,DDoS,0.8427120505078233,0.0
original,xgb,DoS,0.6899728997289973,0.0
original,xgb,Mirai,0.9970703125,0.0
original,xgb,Recon,0.6617375231053605,0.0
original,xgb,Spoofing,0.8865248226950354,0.0
original,xgb,Web,0.440506329113924,0.0
original,svm,Benign,0.7214611872146118,0.0
original,svm,BruteForce,0.4690553745928338,0.0
original,svm,DDoS,0.8308943089430895,0.0
original,svm,DoS,0.6523915461624027,0.0
original,svm,Mirai,0.9956033219345384,0.0
original,svm,Recon,0.6485539000876425,0.0
original,svm,Spoofing,0.7142857142857143,0.0
original,svm,Web,0.3057324840764331,0.0
no_number,rf,Benign,0.756794425087108,0.0010532977384650755
no_number,rf,BruteForce,0.5589041095890411,-0.0015354508505193154
no_number,rf,DDoS,0.822683489350156,-0.002459057486661753
no_number,rf,DoS,0.6376248612652609,-0.005766659931746632
no_number,rf,Mirai,0.997559785261103,-0.0004889952267017605
no_number,rf,Recon,0.6918918918918919,0.008528743412464346
no_number,rf,Spoofing,0.8870779976717112,-0.0018108912171775904
no_number,rf,Web,0.4273504273504273,0.004162021553325901
no_number,xgb,Benign,0.7528248587570622,0.001232502069164032
no_number,xgb,BruteForce,0.5526315789473685,0.0005482456140351033
no_number,xgb,DDoS,0.840571742715778,-0.002140307792045326
no_number,xgb,DoS,0.6857760951865873,-0.004196804542410004
no_number,xgb,Mirai,0.9975621647976596,0.0004918522976595785
no_number,xgb,Recon,0.6532479414455626,-0.008489581659797851
no_number,xgb,Spoofing,0.8844339622641509,-0.002090860430884467
no_number,xgb,Web,0.4240837696335078,-0.01642255948041621
no_protocol,rf,Benign,0.751219512195122,-0.004521615153521008
no_protocol,rf,BruteForce,0.5580110497237569,-0.0024285107158035224
no_protocol,rf,DDoS,0.8243445184078251,-0.0007980284289926809
no_protocol,rf,DoS,0.6426792139496263,-0.0007123072473811387
no_protocol,rf,Mirai,0.9975621647976596,-0.0004866156901451868
no_protocol,rf,Recon,0.6892252894033838,0.005862140923956205
no_protocol,rf,Spoofing,0.8857479387514723,-0.003140950137416554
no_protocol,rf,Web,0.44,0.016811594202898628
no_protocol,xgb,Benign,0.7537260468417317,0.0021336901538335784
no_protocol,xgb,BruteForce,0.5585106382978723,0.006427304964538916
no_protocol,xgb,DDoS,0.84375,0.0010379494921767263
no_protocol,xgb,DoS,0.6905732138005977,0.0006003140716003275
no_protocol,xgb,Mirai,0.9975574010747436,0.00048708857474355494
no_protocol,xgb,Recon,0.6599450045829515,-0.0017925185224090256
no_protocol,xgb,Spoofing,0.8904593639575972,0.003934541262561764
no_protocol,xgb,Web,0.4354430379746835,-0.005063291139240533
no_number_protocol,rf,Benign,0.7554006968641115,-0.0003404304845314732
no_number_protocol,rf,BruteForce,0.5515320334261838,-0.008907527013376604
no_number_protocol,rf,DDoS,0.8227951153324288,-0.002347431504388986
no_number_protocol,rf,DoS,0.6380027739251041,-0.005388747271903416
no_number_protocol,rf,Mirai,0.997559785261103,-0.0004889952267017605
no_number_protocol,rf,Recon,0.6875559534467324,0.004192804967304786
no_number_protocol,rf,Spoofing,0.8865497076023392,-0.002339181286549641
no_number_protocol,rf,Web,0.4463276836158192,0.02313927781871783
no_number_protocol,xgb,Benign,0.7494707127734651,-0.0021216439144330357
no_number_protocol,xgb,BruteForce,0.5392670157068062,-0.01281631762652713
no_number_protocol,xgb,DDoS,0.8411240575736806,-0.0015879929341426902
no_number_protocol,xgb,DoS,0.6844251155205219,-0.005547784208475459
no_number_protocol,xgb,Mirai,0.9975621647976596,0.0004918522976595785
no_number_protocol,xgb,Recon,0.6507791017415215,-0.010958421363838955
no_number_protocol,xgb,Spoofing,0.8902007083825265,0.0036758856874911094
no_number_protocol,xgb,Web,0.4136125654450261,-0.026893763668897896
