scope,group,n,frac_arp_zero,frac_arp_positive,arp_median,arp_p75,arp_max,arp_mean,mean_ARP,mean_TCP,mean_UDP,mean_DNS,mean_HTTP,mean_HTTPS,mean_ICMP,mean_IPv,mean_LLC
train,Spoofing (all),2206,0.8680870353581143,0.13191296464188576,0.0,0.0,0.9,0.02203082502266546,0.02203082502266546,0.6579782411604714,0.3106074342701723,0.0199909338168631,0.07067089755213056,0.5452855847688124,0.009202175883952857,0.9779691749773346,0.9779691749773346
train,MITM-ARPSPOOFING,1394,0.9096126255380201,0.09038737446197992,0.0,0.0,0.8,0.015351506456241032,0.015351506456241032,0.6976327116212339,0.2783357245337159,0.020444763271162122,0.00703012912482066,0.6645624103299858,0.008680057388809182,0.9846484935437589,0.9846484935437589
train,DNS_SPOOFING,812,0.7967980295566502,0.20320197044334976,0.0,0.0,0.9,0.03349753694581281,0.03349753694581281,0.5899014778325123,0.36600985221674875,0.019211822660098524,0.17992610837438422,0.34051724137931033,0.010098522167487686,0.9665024630541873,0.9665024630541873
train,All other categories (reference),40647,0.8682805619110882,0.13171943808891184,0.0,0.0,0.9,0.008574333128869389,0.008574333128869389,0.554664119444517,0.2458935399244282,0.009134544072751435,0.05141281439384621,0.12133557855674666,0.1061705677658037,0.9914256668711307,0.9914256668711307
train,Benign (reference),3315,0.816892911010558,0.18310708898944192,0.0,0.0,0.5,0.02558069381598794,0.02558069381598794,0.8087782805429865,0.15601809954751134,0.02986425339366516,0.051583710407239816,0.6950829562594268,0.0093815987933635,0.974419306184012,0.974419306184012
test,Spoofing (all),441,0.8820861678004536,0.11791383219954649,0.0,0.0,0.4,0.017687074829931974,0.017687074829931974,0.6752834467120181,0.2979591836734694,0.017687074829931974,0.07755102040816327,0.5603174603174602,0.009070294784580499,0.9823129251700682,0.9823129251700682
test,MITM-ARPSPOOFING,279,0.910394265232975,0.08960573476702509,0.0,0.0,0.3,0.013978494623655914,0.013978494623655914,0.7290322580645161,0.24659498207885308,0.018279569892473122,0.006093189964157706,0.6953405017921147,0.010394265232974912,0.9860215053763441,0.9860215053763441
test,DNS_SPOOFING,162,0.8333333333333334,0.16666666666666666,0.0,0.0,0.4,0.024074074074074078,0.024074074074074078,0.582716049382716,0.38641975308641974,0.016666666666666666,0.2006172839506173,0.3277777777777778,0.006790123456790124,0.9759259259259259,0.9759259259259259
test,All other categories (reference),8131,0.8682818841470914,0.13171811585290863,0.0,0.0,0.4,0.008677899397368098,0.008677899397368098,0.5529147706309188,0.2472426515803714,0.008847620218915263,0.04982535973435002,0.1199692534743574,0.1057975648751691,0.9913221006026319,0.9913221006026319
test,Benign (reference),662,0.7900302114803626,0.20996978851963746,0.0,0.0,0.4,0.028247734138972812,0.028247734138972812,0.8173716012084592,0.1462235649546828,0.029758308157099702,0.05120845921450152,0.6974320241691843,0.008006042296072506,0.9717522658610273,0.9717522658610273
xai_cohort,Spoofing (all),120,0.925,0.075,0.0,0.0,0.3,0.010833333333333335,0.010833333333333335,0.6099999999999999,0.36833333333333335,0.018333333333333333,0.05666666666666666,0.52,0.010833333333333334,0.9891666666666666,0.9891666666666666
xai_cohort,MITM-ARPSPOOFING,79,0.9367088607594937,0.06329113924050633,0.0,0.0,0.3,0.010126582278481013,0.010126582278481013,0.7025316455696202,0.2746835443037975,0.015189873417721518,0.0037974683544303805,0.6721518987341771,0.012658227848101266,0.989873417721519,0.989873417721519
xai_cohort,DNS_SPOOFING,41,0.9024390243902439,0.0975609756097561,0.0,0.0,0.2,0.012195121951219513,0.012195121951219513,0.4317073170731708,0.5487804878048781,0.024390243902439025,0.15853658536585366,0.2268292682926829,0.007317073170731709,0.9878048780487805,0.9878048780487805
xai_cohort,All other categories (reference),760,0.8144736842105263,0.18552631578947368,0.0,0.0,0.4,0.019921052631578947,0.019921052631578947,0.5865,0.21553947368421053,0.01676315789473684,0.05934210526315789,0.2199078947368421,0.05410526315789474,0.9800789473684209,0.9800789473684209
xai_cohort,Benign (reference),120,0.85,0.15,0.0,0.0,0.2,0.0175,0.0175,0.8524999999999999,0.12666666666666668,0.022500000000000003,0.01916666666666667,0.8008333333333334,0.0033333333333333335,0.9825,0.9825
