split,class,n,min,p01,median,p99,max,mean,frac_ge_threshold,rows_between_15_and_85
train,Benign,3315,8.0,10.0,10.0,10.0,10.0,9.999396681749623,0.0,
train,BruteForce,1071,9.0,10.0,10.0,10.0,10.0,9.99906629318394,0.0,
train,DDoS,18435,10.0,100.0,100.0,100.0,100.0,99.95183075671278,0.9994575535665853,
train,DoS,8996,21.0,100.0,100.0,100.0,100.0,99.96442863494886,0.9997776789684304,
train,Mirai,5132,3.0,100.0,100.0,100.0,100.0,99.737529228371,0.9976617303195635,
train,Recon,2627,10.0,10.0,10.0,10.0,10.0,10.0,0.0,
train,Spoofing,2206,9.0,10.0,10.0,10.0,10.0,9.999546690843156,0.0,
train,Web,1071,8.0,10.0,10.0,10.0,10.0,9.99813258636788,0.0,
train,_ALL,42853,3.0,10.0,100.0,100.0,100.0,78.32914848435348,0.7593167339509486,41.0
test,Benign,662,10.0,10.0,10.0,10.0,10.0,10.0,0.0,
test,BruteForce,214,10.0,10.0,10.0,10.0,10.0,10.0,0.0,
test,DDoS,3687,16.0,100.0,100.0,100.0,100.0,99.95687550854353,0.9994575535665853,
test,DoS,1800,75.0,100.0,100.0,100.0,100.0,99.98611111111111,1.0,
test,Mirai,1026,10.0,100.0,100.0,100.0,100.0,99.82456140350877,0.9980506822612085,
test,Recon,527,10.0,10.0,10.0,10.0,10.0,10.0,0.0,
test,Spoofing,441,10.0,10.0,10.0,10.0,10.0,10.0,0.0,
test,Web,215,3.0,10.0,10.0,10.0,10.0,9.967441860465117,0.0,
test,_ALL,8572,3.0,10.0,100.0,100.0,100.0,78.3386607559496,0.7593327111525898,3.0
