model,class,precision,recall,f1,support
rf,Benign,0.702457956015524,0.8202416918429003,0.756794425087108,662.0
rf,BruteForce,0.6754966887417219,0.4766355140186916,0.5589041095890411,214.0
rf,DDoS,0.8230184581976113,0.8223487930566856,0.822683489350156,3687.0
rf,DoS,0.6369179600886918,0.6383333333333333,0.6376248612652609,1800.0
rf,Mirai,0.9990224828934506,0.9961013645224172,0.997559785261103,1026.0
rf,Recon,0.6586620926243568,0.7286527514231499,0.6918918918918919,527.0
rf,Spoofing,0.9114832535885168,0.8639455782312925,0.8870779976717112,441.0
rf,Web,0.5514705882352942,0.3488372093023256,0.42735042735042733,215.0
rf,_accuracy,,,0.7802146523565096,
rf,_macro_avg,0.7448161850481458,0.7118870294663495,0.7224858734333375,
rf,_weighted_avg,0.7796485211586659,0.7802146523565096,0.7784376189838661,
rf,_roc_auc_macro_ovr,,,0.967719815390999,
rf,_train_time_s,,,5.539056916997652,
rf,_diagnostic_infer_ms_per_sample,,,0.01975487050841492,
rf,_model_size_mb,,,62.086079,
xgb,Benign,0.7068965517241379,0.8051359516616314,0.7528248587570622,662.0
xgb,BruteForce,0.6325301204819277,0.49065420560747663,0.5526315789473685,214.0
xgb,DDoS,0.8520479242128727,0.8294005966910768,0.840571742715778,3687.0
xgb,DoS,0.6680716543730242,0.7044444444444444,0.6857760951865873,1800.0
xgb,Mirai,0.9980487804878049,0.9970760233918129,0.9975621647976597,1026.0
xgb,Recon,0.6307420494699647,0.6774193548387096,0.6532479414455626,527.0
xgb,Spoofing,0.9213759213759214,0.8503401360544217,0.8844339622641509,441.0
xgb,Web,0.48502994011976047,0.3767441860465116,0.42408376963350786,215.0
xgb,_accuracy,,,0.7932804479701353,
xgb,_macro_avg,0.7368428677806766,0.7164018623420106,0.7238915142184597,
xgb,_weighted_avg,0.7949561321479823,0.7932804479701353,0.7931861916909412,
xgb,_roc_auc_macro_ovr,,,0.9728961333614171,
xgb,_train_time_s,,,5.974819749993912,
xgb,_diagnostic_infer_ms_per_sample,,,0.0031670214655043468,
xgb,_model_size_mb,,,1.999414,
