model,class,precision,recall,f1,support
rf,Benign,0.7011642949547219,0.8187311178247734,0.7554006968641115,662.0
rf,BruteForce,0.6827586206896552,0.46261682242990654,0.5515320334261838,214.0
rf,DDoS,0.8232419223459136,0.8223487930566856,0.8227951153324288,3687.0
rf,DoS,0.6371191135734072,0.6388888888888888,0.6380027739251041,1800.0
rf,Mirai,0.9990224828934506,0.9961013645224172,0.997559785261103,1026.0
rf,Recon,0.6508474576271186,0.7286527514231499,0.6875559534467324,527.0
rf,Spoofing,0.9154589371980676,0.8594104308390023,0.8865497076023392,441.0
rf,Web,0.5683453237410072,0.3674418604651163,0.4463276836158192,215.0
rf,_accuracy,,,0.7800979934671022,
rf,_macro_avg,0.7472447691279178,0.7117740036812424,0.7232154686842278,
rf,_weighted_avg,0.7800156082286472,0.7800979934671022,0.7784555412911163,
rf,_roc_auc_macro_ovr,,,0.9678511126852996,
rf,_train_time_s,,,5.550491875001171,
rf,_diagnostic_infer_ms_per_sample,,,0.017291642323847046,
rf,_model_size_mb,,,61.949121,
xgb,Benign,0.7033112582781457,0.8021148036253777,0.7494707127734651,662.0
xgb,BruteForce,0.6130952380952381,0.48130841121495327,0.5392670157068062,214.0
xgb,DDoS,0.8503325942350333,0.8321128288581503,0.8411240575736806,3687.0
xgb,DoS,0.6700372538584354,0.6994444444444444,0.6844251155205219,1800.0
xgb,Mirai,0.9980487804878049,0.9970760233918129,0.9975621647976597,1026.0
xgb,Recon,0.6294326241134752,0.6736242884250474,0.6507791017415215,527.0
xgb,Spoofing,0.9285714285714286,0.854875283446712,0.8902007083825265,441.0
xgb,Web,0.47305389221556887,0.3674418604651163,0.41361256544502617,215.0
xgb,_accuracy,,,0.7926971535230984,
xgb,_macro_avg,0.7332353837318912,0.7134997429839518,0.720805180242651,
xgb,_weighted_avg,0.7938583054522749,0.7926971535230984,0.7924296480513237,
xgb,_roc_auc_macro_ovr,,,0.9729310412465608,
xgb,_train_time_s,,,5.817953958001453,
xgb,_diagnostic_infer_ms_per_sample,,,0.0026991172428829013,
xgb,_model_size_mb,,,1.949093,
