model,class,precision,recall,f1,support
rf,Benign,0.6972833117723156,0.8141993957703928,0.751219512195122,662.0
rf,BruteForce,0.6824324324324325,0.4719626168224299,0.5580110497237569,214.0
rf,DDoS,0.8258029395753946,0.8228912394901003,0.8243445184078251,3687.0
rf,DoS,0.6403750689464975,0.645,0.6426792139496263,1800.0
rf,Mirai,0.9980487804878049,0.9970760233918129,0.9975621647976597,1026.0
rf,Recon,0.6493288590604027,0.7343453510436433,0.6892252894033838,527.0
rf,Spoofing,0.9215686274509803,0.8526077097505669,0.8857479387514723,441.0
rf,Web,0.5703703703703704,0.3581395348837209,0.44,215.0
rf,_accuracy,,,0.7813812412505833,
rf,_macro_avg,0.7481512987620248,0.7120277338940834,0.7235987109036057,
rf,_weighted_avg,0.7816482042805438,0.7813812412505833,0.7798457601237069,
rf,_roc_auc_macro_ovr,,,0.9682111217304825,
rf,_train_time_s,,,5.520532958005788,
rf,_diagnostic_infer_ms_per_sample,,,0.021664163322597886,
rf,_model_size_mb,,,61.275204,
xgb,Benign,0.7108433734939759,0.8021148036253777,0.7537260468417317,662.0
xgb,BruteForce,0.6481481481481481,0.49065420560747663,0.5585106382978723,214.0
xgb,DDoS,0.8528678304239401,0.8348250610252238,0.84375,3687.0
xgb,DoS,0.6757044125465178,0.7061111111111111,0.6905732138005977,1800.0
xgb,Mirai,1.0,0.9951267056530214,0.9975574010747436,1026.0
xgb,Recon,0.6382978723404256,0.683111954459203,0.6599450045829515,527.0
xgb,Spoofing,0.9264705882352942,0.8571428571428571,0.8904593639575972,441.0
xgb,Web,0.4777777777777778,0.4,0.43544303797468353,215.0
xgb,_accuracy,,,0.7967802146523565,
xgb,_macro_avg,0.74126375037076,0.7211358373280339,0.7287455883162721,
xgb,_weighted_avg,0.7983845521081319,0.7967802146523565,0.7967829792386616,
xgb,_roc_auc_macro_ovr,,,0.9733735303448717,
xgb,_train_time_s,,,5.643291541004146,
xgb,_diagnostic_infer_ms_per_sample,,,0.0021538730751677637,
xgb,_model_size_mb,,,1.693921,
