model,class,precision,recall,f1,support
rf,Benign,0.7006451612903226,0.8202416918429003,0.755741127348643,662.0
rf,BruteForce,0.68,0.4766355140186916,0.5604395604395604,214.0
rf,DDoS,0.8260396846969286,0.8242473555736372,0.8251425468368178,3687.0
rf,DoS,0.6417910447761194,0.645,0.6433915211970075,1800.0
rf,Mirai,0.9990234375,0.9970760233918129,0.9980487804878049,1026.0
rf,Recon,0.6463620981387479,0.7248576850094877,0.6833631484794276,527.0
rf,Spoofing,0.9178743961352657,0.8616780045351474,0.8888888888888888,441.0
rf,Web,0.5615384615384615,0.3395348837209302,0.42318840579710143,215.0
rf,_accuracy,,,0.7819645356976201,
rf,_macro_avg,0.7466592855094807,0.7111588947615759,0.7222754974344063,
rf,_weighted_avg,0.7817689623622638,0.7819645356976201,0.7801861801045673,
rf,_roc_auc_macro_ovr,,,0.9677241658524861,
rf,_train_time_s,,,1.684039291998488,
rf,_diagnostic_infer_ms_per_sample,,,0.007288458586180297,
rf,_model_size_mb,,,61.507546,
xgb,Benign,0.7070572569906791,0.8021148036253777,0.7515923566878981,662.0
xgb,BruteForce,0.6235294117647059,0.4953271028037383,0.5520833333333334,214.0
xgb,DDoS,0.8530147263128647,0.8326552752915649,0.8427120505078233,3687.0
xgb,DoS,0.6735449735449736,0.7072222222222222,0.6899728997289973,1800.0
xgb,Mirai,0.9990215264187867,0.9951267056530214,0.9970703125,1026.0
xgb,Recon,0.645045045045045,0.6793168880455408,0.6617375231053605,527.0
xgb,Spoofing,0.9259259259259259,0.8503401360544217,0.8865248226950354,441.0
xgb,Web,0.48333333333333334,0.4046511627906977,0.44050632911392407,215.0
xgb,_accuracy,,,0.7957302846476901,
xgb,_macro_avg,0.7388090249170394,0.720844287060823,0.7277749534590465,
xgb,_weighted_avg,0.7974962985751721,0.7957302846476901,0.7958617179263638,
xgb,_roc_auc_macro_ovr,,,0.9732680260322788,
xgb,_train_time_s,,,2.206413416999567,
xgb,_diagnostic_infer_ms_per_sample,,,0.0019895249643115667,
xgb,_model_size_mb,,,1.538271,
svm,Benign,0.634902411021814,0.8353474320241692,0.7214611872146118,662.0
svm,BruteForce,0.7741935483870968,0.3364485981308411,0.46905537459283386,214.0
svm,DDoS,0.8302193338748984,0.8315703824247356,0.8308943089430895,3687.0
svm,DoS,0.6531180400890868,0.6516666666666666,0.6523915461624027,1800.0
svm,Mirai,0.9980411361410382,0.99317738791423,0.9956033219345384,1026.0
svm,Recon,0.6026058631921825,0.7020872865275142,0.6485539000876425,527.0
svm,Spoofing,0.7662337662337663,0.6689342403628118,0.7142857142857143,441.0
svm,Web,0.48484848484848486,0.22325581395348837,0.3057324840764331,215.0
svm,_accuracy,,,0.7694820345310313,
svm,_macro_avg,0.718020322973546,0.6553109760005571,0.6672472296621583,
svm,_weighted_avg,0.7706870021398609,0.7694820345310313,0.7652597589817886,
svm,_roc_auc_macro_ovr,,,0.9630756132436651,
svm,_train_time_s,,,65.33302616699802,
svm,_diagnostic_infer_ms_per_sample,,,0.8323282052025663,
svm,_model_size_mb,,,0.993378,
