model,class,precision,recall,f1,support
rf,Benign,0.6968911917098446,0.8126888217522659,0.7503486750348675,662.0
rf,BruteForce,0.6845637583892618,0.4766355140186916,0.5619834710743802,214.0
rf,DDoS,0.8267029972752044,0.8228912394901003,0.8247927144216393,3687.0
rf,DoS,0.6411667583929554,0.6472222222222223,0.6441802598838817,1800.0
rf,Mirai,0.9980487804878049,0.9970760233918129,0.9975621647976597,1026.0
rf,Recon,0.6502546689303905,0.7267552182163188,0.6863799283154122,527.0
rf,Spoofing,0.9197080291970803,0.8571428571428571,0.8873239436619719,441.0
rf,Web,0.5611510791366906,0.3627906976744186,0.4406779661016949,215.0
rf,_accuracy,,,0.7817312179188054,
rf,_macro_avg,0.7473109079399041,0.712900324238586,0.7241561404114384,
rf,_weighted_avg,0.781954469372996,0.7817312179188054,0.7803088096964519,
rf,_roc_auc_macro_ovr,,,0.9680020200277129,
rf,_train_time_s,,,1.753363750060089,
rf,_diagnostic_infer_ms_per_sample,,,0.007493053895942397,
rf,_model_size_mb,,,61.423399,
xgb,Benign,0.7070572569906791,0.8021148036253777,0.7515923566878981,662.0
xgb,BruteForce,0.6235294117647059,0.4953271028037383,0.5520833333333334,214.0
xgb,DDoS,0.8530147263128647,0.8326552752915649,0.8427120505078233,3687.0
xgb,DoS,0.6735449735449736,0.7072222222222222,0.6899728997289973,1800.0
xgb,Mirai,0.9990215264187867,0.9951267056530214,0.9970703125,1026.0
xgb,Recon,0.645045045045045,0.6793168880455408,0.6617375231053605,527.0
xgb,Spoofing,0.9259259259259259,0.8503401360544217,0.8865248226950354,441.0
xgb,Web,0.48333333333333334,0.4046511627906977,0.44050632911392407,215.0
xgb,_accuracy,,,0.7957302846476901,
xgb,_macro_avg,0.7388090249170394,0.720844287060823,0.7277749534590465,
xgb,_weighted_avg,0.7974962985751721,0.7957302846476901,0.7958617179263638,
xgb,_roc_auc_macro_ovr,,,0.9732680260322788,
xgb,_train_time_s,,,2.2807096670148894,
xgb,_diagnostic_infer_ms_per_sample,,,0.0016147680832677169,
xgb,_model_size_mb,,,1.538237,
