model,class,precision,recall,f1,support
distilbert,Benign,0.6535031847133758,0.7749244712990937,0.7090532135452661,662.0
distilbert,BruteForce,0.4722222222222222,0.4766355140186916,0.4744186046511628,214.0
distilbert,DDoS,0.8427792915531335,0.838893409275834,0.8408318608128313,3687.0
distilbert,DoS,0.6723474436503574,0.6794444444444444,0.6758773141751865,1800.0
distilbert,Mirai,0.9970731707317073,0.9961013645224172,0.9965870307167235,1026.0
distilbert,Recon,0.6728971962616822,0.5464895635673624,0.6031413612565445,527.0
distilbert,Spoofing,0.8929440389294404,0.8321995464852607,0.8615023474178404,441.0
distilbert,Web,0.38073394495412843,0.386046511627907,0.3833718244803695,215.0
distilbert,_accuracy,,,0.7805646290247317,
distilbert,_macro_avg,0.6980625616270059,0.6913418531551263,0.6930979446319905,
distilbert,_weighted_avg,0.7821380454148992,0.7805646290247317,0.7804883706797321,
distilbert,_roc_auc_macro_ovr,,,0.9687279444446572,
distilbert,_train_time_s,,,31687.889986875,
distilbert,_diagnostic_infer_ms_per_sample,,,12.879363567429102,
distilbert,_diagnostic_infer_ms_per_sample_bs1,,,13.514121454936685,
distilbert,_model_size_mb,,,268.563831,
