level,class,units,spearman,top_overlap,ig_top,shap_top,shap_exact_zero_units
field,Benign,39,0.5677159681056315,2,ttl,num,10
field,BruteForce,39,0.39754377321642553,2,max,ssh,8
field,DDoS,39,0.46782950648299787,1,proto_num,icmp,9
field,DoS,39,0.33637975885092614,1,tot_size,num,7
field,Mirai,39,0.4012294853162846,3,proto_num,tot_sum,9
field,Recon,39,0.3842618176888965,1,num,num,11
field,Spoofing,39,0.6069985559124019,3,num,num,11
field,Web,39,0.5519451295467672,2,rate,num,9
G1_sum_abs,Benign,29,0.7723017202148159,3,ack+ack_cnt,num,3
G1_sum_abs,BruteForce,29,0.5845244672461849,2,max+avg+tot_size,ssh,3
G1_sum_abs,DDoS,29,0.5908759115765926,2,max+avg+tot_size,icmp,4
G1_sum_abs,DoS,29,0.6200099323741151,3,max+avg+tot_size,num,3
G1_sum_abs,Mirai,29,0.4804952918641188,2,proto_num,tot_sum,5
G1_sum_abs,Recon,29,0.7223186748780632,2,max+avg+tot_size,num,4
G1_sum_abs,Spoofing,29,0.7767924913692281,3,max+avg+tot_size,num,5
G1_sum_abs,Web,29,0.7432804663989357,3,max+avg+tot_size,num,4
G1_abs_signed_sum,Benign,29,0.7481518897805299,3,ack+ack_cnt,num,3
G1_abs_signed_sum,BruteForce,29,0.5919172724811703,2,max+avg+tot_size,ssh,3
G1_abs_signed_sum,DDoS,29,0.5598031382632993,2,max+avg+tot_size,icmp,4
G1_abs_signed_sum,DoS,29,0.6101528587274678,2,max+avg+tot_size,num,3
G1_abs_signed_sum,Mirai,29,0.47160637587896553,2,proto_num,tot_sum,5
G1_abs_signed_sum,Recon,29,0.6919857295008008,3,syn+syn_cnt,num,4
G1_abs_signed_sum,Spoofing,29,0.7772863200350699,3,max+avg+tot_size,num,5
G1_abs_signed_sum,Web,29,0.7437736850229563,3,max+avg+tot_size,num,4
G2_sum_abs,Benign,27,0.7745878048794275,3,tot_sum+max+avg+tot_size+num,tot_sum+max+avg+tot_size+num,3
G2_sum_abs,BruteForce,27,0.5638363910912552,2,tot_sum+max+avg+tot_size+num,ssh,3
G2_sum_abs,DDoS,27,0.563131199017229,2,tot_sum+max+avg+tot_size+num,tot_sum+max+avg+tot_size+num,4
G2_sum_abs,DoS,27,0.5949909479121155,2,tot_sum+max+avg+tot_size+num,tot_sum+max+avg+tot_size+num,3
G2_sum_abs,Mirai,27,0.4825497206032067,2,proto_num,tot_sum+max+avg+tot_size+num,5
G2_sum_abs,Recon,27,0.749007295109778,4,tot_sum+max+avg+tot_size+num,tot_sum+max+avg+tot_size+num,4
G2_sum_abs,Spoofing,27,0.7532184725151577,4,tot_sum+max+avg+tot_size+num,tot_sum+max+avg+tot_size+num,5
G2_sum_abs,Web,27,0.7312756938377913,3,tot_sum+max+avg+tot_size+num,tot_sum+max+avg+tot_size+num,4
G2_abs_signed_sum,Benign,27,0.7550398476584955,3,ack+ack_cnt,tot_sum+max+avg+tot_size+num,3
G2_abs_signed_sum,BruteForce,27,0.5711668750491048,2,tot_sum+max+avg+tot_size+num,ssh,3
G2_abs_signed_sum,DDoS,27,0.530725169106357,2,tot_sum+max+avg+tot_size+num,tot_sum+max+avg+tot_size+num,4
G2_abs_signed_sum,DoS,27,0.592547453259499,2,tot_sum+max+avg+tot_size+num,tot_sum+max+avg+tot_size+num,3
G2_abs_signed_sum,Mirai,27,0.47275175673309083,2,proto_num,tot_sum+max+avg+tot_size+num,5
G2_abs_signed_sum,Recon,27,0.7297471075212407,4,tot_sum+max+avg+tot_size+num,tot_sum+max+avg+tot_size+num,4
G2_abs_signed_sum,Spoofing,27,0.7538308452570398,3,tot_sum+max+avg+tot_size+num,tot_sum+max+avg+tot_size+num,5
G2_abs_signed_sum,Web,27,0.7282185212046902,3,tot_sum+max+avg+tot_size+num,tot_sum+max+avg+tot_size+num,4
