grouping,class,unit,ig_abs,ig_rank,shap_abs,shap_rank
G1,Benign,proto_num,0.0886905558157227,5,0.0001814455463318,23
G1,Benign,ttl,0.1063871856089459,2,0.0430597178637981,5
G1,Benign,rate+iat,0.083668805371712,6,0.0516105294227599,4
G1,Benign,header_len,0.0268480891550152,11,0.0222700834274292,7
G1,Benign,fin+fin_cnt,0.0153562332433159,14,0.0162921044975519,10
G1,Benign,syn+syn_cnt,0.0164973885359064,12,0.0200683679431676,8
G1,Benign,rst+rst_cnt,0.0133058159997804,18,0.0051423707045614,16
G1,Benign,psh,0.046332999650322,9,0.0352235212922096,6
G1,Benign,ack+ack_cnt,0.1416209036335318,1,0.011884873965755001,12
G1,Benign,ece,0.009458890474639,19,2.2581218217965215e-05,25
G1,Benign,cwr,0.0045466370441828,24,0.0,27
G1,Benign,http,0.0075376784087007,21,0.0068720313720405,15
G1,Benign,https,0.0944813704825413,4,0.1691117584705352,2
G1,Benign,dns,0.0535107439000597,8,0.0076817064546048,14
G1,Benign,telnet,0.005937578263271,22,0.0,27
G1,Benign,smtp,0.0047232966511009,23,0.0,27
G1,Benign,ssh,0.0029598969565986,26,0.0008737549069337,22
G1,Benign,irc,0.0033136368684659,25,8.699937097844668e-06,26
G1,Benign,tcp,0.0135097336922202,17,0.0041052866727113,18
G1,Benign,udp,0.0085452391606635,20,0.0026509764138609,20
G1,Benign,dhcp,0.0028542300792804,27,0.0010891399579122,21
G1,Benign,arp+ipv+llc,0.0140778549728659,16,0.0047857207246124,17
G1,Benign,icmp,0.0024260200204016,29,0.0027830130420625,19
G1,Benign,igmp,0.002599398341865,28,3.963579365517944e-05,24
G1,Benign,tot_sum,0.0156431132681837,13,0.0151558853685855,11
G1,Benign,min,0.0147370400603782,15,0.008426702581346,13
G1,Benign,max+avg+tot_size,0.0996681881173163,3,0.1175431748852133,3
G1,Benign,std+var,0.0434137602578075,10,0.0193161014467477,9
G1,Benign,num,0.0573477159652036,7,0.4338008165359497,1
G1,BruteForce,proto_num,0.0197938059156066,17,0.0001029501217999,26
G1,BruteForce,ttl,0.0400466725881343,8,0.0166273079812526,11
G1,BruteForce,rate+iat,0.07263602203420699,3,0.11266964301466931,3
G1,BruteForce,header_len,0.0354629210874791,9,0.0198150314390659,7
G1,BruteForce,fin+fin_cnt,0.0279715882784877,14,0.0032198182307183,21
G1,BruteForce,syn+syn_cnt,0.0326689887850593,11,0.013260950683616,13
G1,BruteForce,rst+rst_cnt,0.0218984334236795,16,0.0176456635235808,9
G1,BruteForce,psh,0.0316128863855244,12,0.0048683816567063,18
G1,BruteForce,ack+ack_cnt,0.0994060618808438,2,0.0095672177849337,15
G1,BruteForce,ece,0.0080894894931084,22,0.0,27
G1,BruteForce,cwr,0.0044118657619439,24,0.00123768649064,23
G1,BruteForce,http,0.00414569928802,26,0.0216380879282951,6
G1,BruteForce,https,0.0307721009481054,13,0.0307924877852201,5
G1,BruteForce,dns,0.0140838080872869,21,0.0166921094059944,10
G1,BruteForce,telnet,0.0055013626203502,23,0.0,27
G1,BruteForce,smtp,0.0031355638910387,27,0.0,27
G1,BruteForce,ssh,0.0528102558252978,7,0.4247925579547882,1
G1,BruteForce,irc,0.0584508361692416,5,0.0002547286276239,25
G1,BruteForce,tcp,0.0140933243182157,20,0.0059784548357129,17
G1,BruteForce,udp,0.0146404248564614,19,0.0083491336554288,16
G1,BruteForce,dhcp,0.0031101347262218,29,0.0012080152519047,24
G1,BruteForce,arp+ipv+llc,0.0225885511957514,15,0.0038890114519745,20
G1,BruteForce,icmp,0.0043961704413192,25,0.0047428868710994,19
G1,BruteForce,igmp,0.003129310126414,28,0.0018031306099146,22
G1,BruteForce,tot_sum,0.0350171377647387,10,0.015956774353981,12
G1,BruteForce,min,0.019272423237502,18,0.010562895797193,14
G1,BruteForce,max+avg+tot_size,0.19794838270649567,1,0.0474024014547466,4
G1,BruteForce,std+var,0.066925792912733,4,0.0192432459443807,8
G1,BruteForce,num,0.0559799852507306,6,0.1876793801784515,2
G1,DDoS,proto_num,0.1154206381128139,2,0.0380908027291297,8
G1,DDoS,ttl,0.0133244751516063,17,0.016680683940649,12
G1,DDoS,rate+iat,0.0957968305838396,3,0.10486591234803191,4
G1,DDoS,header_len,0.0137943246418988,16,0.0236746799200773,9
G1,DDoS,fin+fin_cnt,0.0524056383113171,7,0.1156427711248397,3
G1,DDoS,syn+syn_cnt,0.073261126076215,5,0.0755118131637572,6
G1,DDoS,rst+rst_cnt,0.0309978029525302,10,0.012329121585935299,13
G1,DDoS,psh,0.0348810974938368,8,0.1028895378112793,5
G1,DDoS,ack+ack_cnt,0.06529179349227679,6,0.023549050092696998,10
G1,DDoS,ece,0.0167131616161867,15,0.0,26
G1,DDoS,cwr,0.012944985417475,18,0.0,26
G1,DDoS,http,0.0081659249909731,25,0.0031047952361404,19
G1,DDoS,https,0.0192252439813776,14,0.0057763927616178,16
G1,DDoS,dns,0.0212860061714987,13,0.0008975024102255,21
G1,DDoS,telnet,0.0128496007298017,19,0.0,26
G1,DDoS,smtp,0.0080090337663908,26,0.0,26
G1,DDoS,ssh,0.0106207121343625,21,2.1848982214578427e-05,24
G1,DDoS,irc,0.0089951116286012,22,3.164097142871469e-05,23
G1,DDoS,tcp,0.0078540220355821,27,0.0041179349645972,17
G1,DDoS,udp,0.0082675212214583,23,0.0102773224934935,14
G1,DDoS,dhcp,0.0082500840295832,24,0.0003407035546842,22
G1,DDoS,arp+ipv+llc,0.0125770444589711,20,0.0033249801490455,18
G1,DDoS,icmp,0.0054826460831365,28,0.2006496042013168,1
G1,DDoS,igmp,0.0052072984755038,29,1.074381907528732e-05,25
G1,DDoS,tot_sum,0.0224036397464412,12,0.0196476783603429,11
G1,DDoS,min,0.0291118267472249,11,0.0015137535519897,20
G1,DDoS,max+avg+tot_size,0.1771729684638675,1,0.16931575583294028,2
G1,DDoS,std+var,0.033069485906609096,9,0.0088846394792199,15
G1,DDoS,num,0.0766199555786186,4,0.0588503666222095,7
G1,DoS,proto_num,0.0287396007204532,10,0.0005076450761407,22
G1,DoS,ttl,0.0157155386023904,19,0.0238510128110647,12
G1,DoS,rate+iat,0.1514434622538595,2,0.0841824561357497,3
G1,DoS,header_len,0.0192096600116601,14,0.1768611520528793,2
G1,DoS,fin+fin_cnt,0.0365815360433069,9,0.0521578927582595,6
G1,DoS,syn+syn_cnt,0.039032884661033704,7,0.0818221848458051,4
G1,DoS,rst+rst_cnt,0.041130617390556,6,0.0088705556700005,18
G1,DoS,psh,0.0227694558844599,12,0.0465077981352806,8
G1,DoS,ack+ack_cnt,0.061304140974373804,3,0.042908127149530594,9
G1,DoS,ece,0.0171278054376351,17,8.210958185372874e-06,25
G1,DoS,cwr,0.0158208200083168,18,0.0,27
G1,DoS,http,0.0103849386658052,22,0.0099539281800389,17
G1,DoS,https,0.0107677681406704,21,0.017268668860197,13
G1,DoS,dns,0.0201275417609559,13,0.0062890392728149,19
G1,DoS,telnet,0.0171542426839643,16,7.153946626203833e-06,26
G1,DoS,smtp,0.0131534474271283,20,0.0,27
G1,DoS,ssh,0.0063877255925242,26,0.0007608327432535,21
G1,DoS,irc,0.0059541754818329,28,5.6577300711069256e-05,24
G1,DoS,tcp,0.0073277504616617,24,0.0363758392632007,10
G1,DoS,udp,0.0102204298110581,23,0.0154905375093221,14
G1,DoS,dhcp,0.0063266218904662,27,0.0005017388612031,23
