,proto_num,ttl,rate,header_len,fin,syn,rst,psh,ack,ece,cwr,ack_cnt,syn_cnt,fin_cnt,rst_cnt,http,https,dns,telnet,smtp,ssh,irc,tcp,udp,dhcp,arp,icmp,igmp,ipv,llc,tot_sum,min,max,avg,std,tot_size,iat,num,var
proto_num,1.0,0.0005902132999580316,-0.2101618454548005,-0.3285819885972414,-0.09383535566047338,-0.1549082321659111,-0.12333310656454113,-0.11910427898152279,-0.14119136780841754,-0.0026627775232052507,-0.004644906040796817,-0.14058171095424574,-0.1519451561485382,-0.09295150009574772,-0.123241806207897,-0.07878804439780049,-0.09922840942337981,0.06698297199256055,-0.010532398126004882,-0.010287857871680588,-0.03584775204236569,-0.005572301357758939,-0.42840489342604926,0.5786624437881432,0.021873215382686183,0.06964054534873931,-0.36266031719717295,0.008841079329967604,-0.06964054534873931,-0.06964054534873931,0.3765812540244946,0.2634033977936358,0.32625838970502685,0.3773391481517179,0.1273954338343481,0.3773391481517179,0.20842305082649695,0.09339688244760898,0.1273951727796381
ttl,0.0005902132999580316,0.9999999999999999,-0.3823678471435249,0.24438835417786103,0.035695745749503655,-0.016791094430778565,-0.0059446423740928764,0.33490151203741,0.39393784349551025,0.02099685691879644,0.00918628830695169,0.3727154649358966,-0.017873921009284897,0.034720087802311964,-0.007150143631417595,0.09253724803178662,0.4097937239560723,0.2371253649786534,-0.011856641295246703,-0.007520775604874375,0.045659822872603395,0.008023302649654476,0.03517992908714506,0.16723131780015835,0.07372743406425573,-0.08309051675101695,0.06444141433304736,0.01131477042408526,0.08309051675101695,0.08309051675101695,-0.15248730422761267,0.1620830454968833,0.3434101195051801,0.3224982086471274,0.42260114057200004,0.3224982086471274,0.38274447809913936,-0.44339246130094884,0.42260155871577326
rate,-0.21016184545480046,-0.38236784714352484,1.0,-0.20445897544549194,-0.0435318812999216,0.010649525561921213,0.09495765233185227,-0.42493041158157646,-0.5013226759207476,-0.04088562044392334,-0.035249321174526886,-0.47094604597912165,0.014885010974010182,-0.04181317441523738,0.09677973259629186,-0.1592879415558681,-0.5352765119967927,-0.29759380929242885,0.0032645259080813006,0.0009101702594651418,-0.14171084300931663,-0.015265783552649168,0.11076384782903415,-0.25528544203403764,-0.09213657393227491,-0.31838260594053985,0.07546724237558146,-0.0391861246029574,0.31838260594053985,0.31838260594053985,0.02912464528092811,-0.30315042207721044,-0.7108107494480922,-0.704496711015457,-0.7014363353879818,-0.704496711015457,-0.9965199658028632,0.6569350562801479,-0.7014383060618264
header_len,-0.3285819885972414,0.24438835417786103,-0.20445897544549194,1.0,0.19491087854070405,0.27956987871691275,0.1671239929059344,0.42904016374703147,0.5854162705615966,0.029600388408775453,0.02416553535627118,0.564415376070817,0.2734657443939756,0.1930500560296474,0.16656308380411564,0.2292405667990464,0.5011366783317115,0.004200579409774704,0.01671906422754582,0.013843460221464184,0.12040322824108642,0.017199639113273005,0.8120044210783313,-0.2763201679501205,-0.008298802332876713,-0.1094058884710739,-0.49275002384752037,0.00012285729818886412,0.1094058884710739,0.1094058884710739,-0.3680081917232782,0.051603578712503234,0.11021304350068423,0.06379882745661318,0.2615066337424267,0.06379882745661318,0.20989642116233206,-0.5284105873389391,0.26150604455319826
fin,-0.09383535566047338,0.035695745749503655,-0.0435318812999216,0.19491087854070402,1.0,-0.0375856209327617,0.5489489693852145,0.08401712025876516,0.06346778379128835,0.0163521583941542,0.013090532699893681,0.06562252926519092,-0.03838926187994044,0.9998055111947103,0.5497868665383959,0.16860109723132227,0.10865529031607332,0.12487613245457668,0.00039679108183475855,-0.0002454190511078412,0.029929780607777696,2.553574236084361e-06,0.1807691366740623,-0.055789962178597795,0.023632141623531902,0.03752516891588308,-0.07318429103034219,0.011440401013019168,-0.03752516891588308,-0.03752516891588308,-0.11366272153835408,-0.06188287802636532,0.0026382308904813706,-0.01842966375163451,0.06970379730584257,-0.01842966375163451,0.04301924671163978,-0.06103105624386796,0.06970498060248499
syn,-0.1549082321659111,-0.01679109443077856,0.010649525561921213,0.27956987871691275,-0.037585620932761694,1.0,0.007689751431879572,-0.07966246224196627,-0.04470160049785566,0.04664251510600698,0.035251889191347564,-0.02970973388609528,0.9992769717124954,-0.03714225224678176,0.007357212284170658,0.18445019267970683,0.0060047634572087715,0.08606886618554528,0.0232811974797147,0.02063258849353104,0.010847593593248215,0.03733152046623664,0.3654406737407592,-0.19558031176801166,0.010726982763761753,0.018788538094222082,-0.15174840079935242,-0.0008192191903876266,-0.018788538094222082,-0.018788538094222082,-0.12436298693817083,-0.183214425710884,-0.13195792217402935,-0.1552534034868427,-0.03758984265982992,-0.1552534034868427,-0.011357665900063088,0.041208211227447035,-0.03759147890932218
rst,-0.12333310656454113,-0.005944642374092876,0.09495765233185227,0.1671239929059344,0.5489489693852145,0.007689751431879572,1.0,-0.03797834684245788,-0.0033582145721589964,0.0049799260348623465,0.001337207753901039,0.02135666463801325,0.009091373545736272,0.5500515101440585,0.999861020829616,0.03168045506411799,-0.06974291199900191,-0.026317724221969784,-0.0015654940202053142,0.0071275374613665845,-0.00796327346491049,0.0012729426700206293,0.27076375141144343,-0.17923539645584177,0.005930255576957232,-0.02941624152789447,-0.11676129344445707,0.0024615572120133492,0.02941624152789447,0.02941624152789447,-0.09041336933281321,-0.15733791820236123,-0.16084679426194828,-0.1728902631745795,-0.11382299396676292,-0.1728902631745795,-0.0951447208371905,0.062056702607740585,-0.11382069293702295
psh,-0.11910427898152279,0.33490151203741,-0.4249304115815764,0.4290401637470315,0.08401712025876515,-0.07966246224196627,-0.037978346842457884,1.0,0.7873884382292952,0.03316642044280209,0.02979169430457416,0.7875598165676607,-0.08484446359045458,0.08290136647039606,-0.037576103273142716,0.19974081333439148,0.4889135228688959,0.16399865713916634,-0.008671444375755857,-0.01122269256079242,0.17038280666666583,0.005923623958887545,0.21167859744163375,0.026328105928189075,0.05743202300178985,0.14625468513642126,-0.10540161611330792,0.026177515830681737,-0.14625468513642126,-0.14625468513642126,-0.23680410101649405,0.08057296412915665,0.369430861935208,0.3224170392501763,0.4897572597621763,0.3224170392501763,0.425982949640963,-0.5310837606034668,0.48975621489928467
ack,-0.1411913678084175,0.3939378434955102,-0.5013226759207476,0.5854162705615967,0.06346778379128835,-0.04470160049785566,-0.0033582145721589964,0.7873884382292952,1.0,0.03406630268234888,0.02822745706891508,0.9914493996437174,-0.047490439925071834,0.0626258218217555,-0.004567167590483661,0.21665274010579424,0.6642301498240861,0.14405509323991397,-0.006918355011368101,-0.0039778732169544325,0.13964478198779412,0.0038343259804290556,0.3176639457612252,-0.04180284453353541,0.044541119276690556,0.11611985751945653,-0.14934600080585778,0.024880521740042752,-0.11611985751945653,-0.11611985751945653,-0.2092281315635176,0.1831868684234858,0.49233957998844086,0.4556929794644887,0.5972774653636427,0.4556929794644887,0.5055524699971288,-0.6931392286954182,0.5972763640994315
ece,-0.0026627775232052507,0.02099685691879644,-0.04088562044392334,0.029600388408775456,0.0163521583941542,0.04664251510600698,0.004979926034862347,0.03316642044280209,0.03406630268234888,1.0,0.7503347678432091,0.03454693151923079,0.046271175467059104,0.01650084377398952,0.004699202826198665,0.017205616901898226,0.046659526867106844,0.02648878918573792,-0.0008164401838805091,-0.0008472797975286569,0.021157254260700895,-0.0010743363358774415,0.0024682068934106655,0.014461560581534614,0.0048148225894078436,0.015087921349162479,0.003940060066974202,-0.0011986262432642514,-0.015087921349162479,-0.015087921349162479,-0.01605757643541474,0.007853822899014349,0.03457754442802949,0.029178515062550908,0.04232577580941864,0.029178515062550908,0.04101250483703004,-0.03573654835977586,0.04232751022839291
cwr,-0.004644906040796817,0.00918628830695169,-0.035249321174526886,0.02416553535627118,0.013090532699893681,0.035251889191347564,0.001337207753901039,0.02979169430457416,0.028227457068915076,0.7503347678432092,0.9999999999999998,0.02791269652548938,0.03482134184257208,0.012895527016819038,0.0010788132048507283,0.015801112775062125,0.03928788364421859,0.02028492927835276,-0.0006943029493969942,-0.0007205290405876583,0.018816661487295768,-0.0009136185373664025,0.003238466350291757,0.010069229711502198,0.006635190766556488,0.017254267577681868,0.00571596424856978,-0.0010193150121146017,-0.017254267577681868,-0.017254267577681868,-0.019530327109509457,-0.0006844138194910461,0.028160571836667463,0.023669378504249453,0.03509968195776428,0.023669378504249453,0.03544184846546388,-0.03450863262005131,0.03510168509422123
ack_cnt,-0.14058171095424574,0.3727154649358966,-0.4709460459791216,0.5644153760708172,0.06562252926519094,-0.029709733886095283,0.02135666463801325,0.7875598165676606,0.9914493996437174,0.03454693151923079,0.027912696525489382,1.0,-0.03125518503484463,0.06550679837366542,0.02077768519809984,0.21708187734286694,0.6274714431148196,0.14511356892880897,-0.006898798990962884,-0.004075562165419804,0.13026787556202848,0.0038351176379743802,0.31797865995098695,-0.048310211145877344,0.04899710099534502,0.12070111982479234,-0.14588862640901415,0.027092569850521966,-0.12070111982479234,-0.12070111982479234,-0.1770740124788133,0.15364165844048705,0.4668875207549933,0.4280814745595146,0.5719260741776859,0.4280814745595146,0.47447754346672594,-0.6278377507401885,0.5719250473797183
syn_cnt,-0.1519451561485382,-0.017873921009284897,0.014885010974010182,0.27346574439397553,-0.03838926187994044,0.9992769717124955,0.009091373545736272,-0.08484446359045458,-0.04749043992507183,0.046271175467059104,0.03482134184257208,-0.03125518503484463,1.0,-0.037742837478991854,0.008829914021605404,0.1803904140747642,0.003276877715726968,0.08460036605648957,0.02339587978906043,0.021227796929646294,0.008711909849119662,0.03706363549805467,0.364409433793768,-0.19659725790953586,0.011917902988900955,0.019517429481633344,-0.14984171377952027,-0.00030961836463918837,-0.019517429481633344,-0.019517429481633344,-0.11148447351136512,-0.18566984208981752,-0.13162035987448104,-0.15498214325144122,-0.03831158608517844,-0.15498214325144122,-0.01574865411533681,0.05376971978232475,-0.038313071997140916
