class,eps,n,pred_preserved_frac,mean_spearman,mean_top5_overlap,mean_top5_jaccard
Benign,0.01,60,0.3,0.46435222672064774,1.8666666666666667,0.24834656084656087
Benign,0.05,60,0.21666666666666667,0.44709851551956814,1.5166666666666666,0.19047619047619044
Benign,0.1,60,0.08333333333333333,0.3925775978407558,1.6833333333333333,0.22063492063492063
BruteForce,0.01,60,0.08333333333333333,0.44905533063427805,1.3166666666666667,0.16746031746031745
BruteForce,0.05,60,0.11666666666666667,0.4281342780026991,1.3166666666666667,0.16904761904761903
BruteForce,0.1,60,0.05,0.4015856950067477,1.15,0.14497354497354495
DDoS,0.01,60,0.8333333333333334,0.4963987725588781,2.7,0.3945767195767196
DDoS,0.05,60,0.7166666666666667,0.41320512820512817,2.216666666666667,0.30707671957671956
DDoS,0.1,60,0.5166666666666667,0.36407557354925785,2.2,0.30866402116402114
DoS,0.01,60,0.9,0.5997165991902835,2.7333333333333334,0.4018518518518518
DoS,0.05,60,0.65,0.5132388663967612,2.45,0.34517195767195763
DoS,0.1,60,0.7333333333333333,0.5339068825910931,2.35,0.32499999999999996
Mirai,0.01,60,1.0,0.5985145873870992,2.816666666666667,0.4047619047619047
Mirai,0.05,60,1.0,0.5444759259840584,2.5166666666666666,0.34887566137566134
Mirai,0.1,60,1.0,0.5107897038589827,2.5166666666666666,0.3518518518518518
Recon,0.01,60,0.3,0.47079959514170044,1.9166666666666667,0.2605820105820106
Recon,0.05,60,0.23333333333333334,0.4465654520917679,1.65,0.2130952380952381
Recon,0.1,60,0.11666666666666667,0.4246104158370216,1.65,0.21567460317460316
Spoofing,0.01,60,0.6,0.5183299595141702,2.45,0.3513888888888889
Spoofing,0.05,60,0.55,0.4953609986504724,2.283333333333333,0.3116402116402116
Spoofing,0.1,60,0.4666666666666667,0.49469973009446694,2.05,0.27718253968253964
Web,0.01,60,0.5166666666666667,0.5678002699055331,2.3833333333333333,0.3320767195767195
Web,0.05,60,0.4666666666666667,0.5223043184885291,2.316666666666667,0.31481481481481477
Web,0.1,60,0.5,0.5112618083670716,2.0833333333333335,0.28167989417989414
_ALL,0.01,480,0.5666666666666667,0.5206209176315738,2.2729166666666667,0.3201306216931217
_ALL,0.05,480,0.49375,0.47629793541737314,2.033333333333333,0.2750248015873016
_ALL,0.1,480,0.43333333333333335,0.45418842589317465,1.9604166666666667,0.265707671957672
