class,eps,n_base_correct,pred_preserved_frac,pred_unchanged_frac_all480,mean_spearman,mean_top5_overlap,mean_top5_jaccard,num_unchanged_frac
Benign,0.01,55,0.8727272727272727,0.8333333333333334,0.9848893463715903,4.4363636363636365,0.8277056277056277,1.0
Benign,0.05,55,0.6545454545454545,0.65,0.9690824872502689,4.127272727272727,0.7326839826839826,0.7166666666666667
Benign,0.1,55,0.4,0.4166666666666667,0.9585645440509051,3.8363636363636364,0.6471861471861472,0.35
Benign,pooled,165,0.6424242424242425,0.6333333333333333,0.970845459224255,4.133333333333334,0.7358585858585858,0.6888888888888889
BruteForce,0.01,48,0.6875,0.7,0.9744623655913979,4.416666666666667,0.8174603174603176,1.0
BruteForce,0.05,48,0.6458333333333334,0.5666666666666667,0.9532334626378112,3.8541666666666665,0.648313492063492,0.6333333333333333
BruteForce,0.1,48,0.5833333333333334,0.48333333333333334,0.9286996393085611,3.75,0.6143353174603173,0.31666666666666665
BruteForce,pooled,144,0.6388888888888888,0.5833333333333334,0.9521318225125902,4.006944444444445,0.6933697089947091,0.65
DDoS,0.01,59,1.0,0.9833333333333333,0.9771151708808005,4.593220338983051,0.8708635996771591,0.4166666666666667
DDoS,0.05,59,0.8983050847457628,0.9,0.9468984440122258,3.9322033898305087,0.6902744148506861,0.11666666666666667
DDoS,0.1,59,0.847457627118644,0.85,0.9219401222561824,3.7457627118644066,0.6385525961797147,0.06666666666666667
DDoS,pooled,177,0.9152542372881356,0.9111111111111111,0.9486512457164028,4.090395480225989,0.7332302035691866,0.2
DoS,0.01,57,0.7368421052631579,0.7,0.9744449682839023,4.2105263157894735,0.759607351712615,0.26666666666666666
DoS,0.05,57,0.7368421052631579,0.7166666666666667,0.9398037030687468,3.280701754385965,0.5132971317181843,0.03333333333333333
DoS,0.1,57,0.9298245614035088,0.9,0.924099234241957,2.8771929824561404,0.4328877749930381,0.05
DoS,pooled,171,0.8011695906432749,0.7722222222222223,0.9461159685315352,3.456140350877193,0.5685974194746125,0.11666666666666667
Mirai,0.01,60,1.0,1.0,0.9963456284153007,4.95,0.9833333333333333,0.2833333333333333
Mirai,0.05,60,1.0,1.0,0.9932377049180329,4.8,0.9333333333333333,0.06666666666666667
Mirai,0.1,60,1.0,1.0,0.9875956284153007,4.583333333333333,0.8626984126984126,0.03333333333333333
Mirai,pooled,180,1.0,1.0,0.9923929872495449,4.777777777777778,0.9264550264550264,0.12777777777777777
Recon,0.01,54,0.6111111111111112,0.5833333333333334,0.9831684686757151,4.277777777777778,0.7698412698412697,1.0
Recon,0.05,54,0.5555555555555556,0.5166666666666667,0.9702208419599724,4.296296296296297,0.7777777777777777,0.6833333333333333
Recon,0.1,54,0.4444444444444444,0.4,0.9496165938194926,4.0,0.6924603174603172,0.43333333333333335
Recon,pooled,162,0.5370370370370371,0.5,0.9676686348183934,4.191358024691358,0.7466931216931217,0.7055555555555556
Spoofing,0.01,59,0.9152542372881356,0.9166666666666666,0.9852966978980244,4.423728813559322,0.8309792843691147,1.0
Spoofing,0.05,59,0.7796610169491526,0.7833333333333333,0.972983121030284,4.067796610169491,0.7128732849071832,0.7666666666666667
Spoofing,0.1,59,0.576271186440678,0.5666666666666667,0.9637505702354634,3.8813559322033897,0.6650524616626311,0.3333333333333333
Spoofing,pooled,177,0.7570621468926554,0.7555555555555555,0.9740101297212572,4.124293785310734,0.7363016769796431,0.7
Web,0.01,39,0.7692307692307693,0.7,0.9782471626733923,4.333333333333333,0.7924297924297924,1.0
Web,0.05,39,0.6153846153846154,0.6166666666666667,0.9556904161412358,3.6666666666666665,0.6025641025641024,0.7333333333333333
Web,0.1,39,0.4358974358974359,0.36666666666666664,0.937725935266919,3.5128205128205128,0.5616605616605614,0.45
Web,pooled,117,0.6068376068376068,0.5611111111111111,0.9572211713605158,3.8376068376068377,0.6522181522181524,0.7277777777777777
_ALL,0.01,431,0.8329466357308585,0.8020833333333334,0.9821165786696673,4.466357308584687,0.8351379221448827,0.7458333333333333
_ALL,0.05,431,0.7470997679814385,0.71875,0.9632359174204991,4.023201856148492,0.7075645416712703,0.46875
_ALL,0.1,431,0.6682134570765661,0.6229166666666667,0.9474115662760786,3.788863109048724,0.644385519095496,0.25416666666666665
_ALL,pooled,1293,0.7494199535962877,0.7145833333333333,0.9642546874554149,4.092807424593968,0.7290293276372163,0.4895833333333333
