class,feature,ig_rank,shap_rank
Benign,num,7,1
Benign,proto_num,3,26
Benign,arp,34,19
Benign,icmp,39,21
Benign,ssh,36,25
Benign,syn,26,9
BruteForce,num,5,2
BruteForce,proto_num,17,31
BruteForce,arp,33,22
BruteForce,icmp,35,21
BruteForce,ssh,7,1
BruteForce,syn,20,14
DDoS,num,3,6
DDoS,proto_num,1,9
DDoS,arp,35,23
DDoS,icmp,36,1
DDoS,ssh,28,29
DDoS,syn,17,10
DoS,num,6,1
DoS,proto_num,9,26
DoS,arp,39,17
DoS,icmp,33,23
DoS,ssh,34,25
DoS,syn,26,4
Mirai,num,18,9
Mirai,proto_num,1,2
Mirai,arp,30,16
Mirai,icmp,29,21
Mirai,ssh,28,35
Mirai,syn,19,17
Recon,num,1,1
Recon,proto_num,16,39
Recon,arp,34,21
Recon,icmp,38,20
Recon,ssh,39,17
Recon,syn,8,3
Spoofing,num,1,1
Spoofing,proto_num,12,26
Spoofing,arp,37,10
Spoofing,icmp,36,22
Spoofing,ssh,34,18
Spoofing,syn,29,24
Web,num,5,1
Web,proto_num,11,25
Web,arp,32,17
Web,icmp,29,14
Web,ssh,38,19
Web,syn,23,15
