class,feature,original_abs_mean,no_number_abs_mean,abs_mean_delta,original_rank,no_number_rank
Benign,https,0.1081069593659785,0.1591970244245387,0.0510900650585602,1,1
Benign,ttl,0.1078860974645462,0.1492608620760319,0.041374764611485704,2,2
Benign,proto_num,0.0830805344169737,0.0809982474462596,-0.002082286970714109,3,5
Benign,ack_cnt,0.0759437275376069,0.1033257176935169,0.027381990155909988,4,3
Benign,rate,0.0692194022870574,0.0275457826448452,-0.04167361964221221,5,9
Benign,ack,0.0553647316475435,0.0338131998285925,-0.021551531818950996,6,7
Benign,dns,0.0502300519728447,0.0487948286593908,-0.001435223313453901,8,6
Benign,psh,0.0497584898283022,0.0975350206831906,0.0477765308548884,9,4
Benign,tot_size,0.0376718579822457,0.0119712038866039,-0.025700654095641796,10,19
Benign,max,0.0342427569131865,0.0283974026866537,-0.0058453542265327965,11,8
Benign,header_len,0.0341326288272609,0.0238400112297707,-0.010292617597490197,12,10
Benign,iat,0.0299416716846118,0.0073623472608614,-0.0225793244237504,13,27
Benign,avg,0.0232485586411998,0.0135961613223611,-0.0096523973188387,14,16
Benign,var,0.0221040678757081,0.0080432025353343,-0.0140608653403738,15,25
Benign,std,0.0195634195522708,0.0087949679940997,-0.010768451558171101,16,22
Benign,tcp,0.0152779947414976,0.0083736401407064,-0.006904354600791201,17,23
Benign,tot_sum,0.0149170773189253,0.0123193558336032,-0.002597721485322101,18,17
Benign,min,0.0127879441470569,0.0141496690956411,0.001361724948584199,19,15
Benign,syn_cnt,0.0103040177483252,0.0168870357252746,0.006583017976949398,20,13
Benign,fin,0.0092486923500892,0.0121211153151413,0.0028724229650521,21,18
Benign,udp,0.0087262578667626,0.0063938661249306,-0.002332391741832,22,29
Benign,ece,0.0072891148490416,0.0082485157537742,0.0009594009047326005,23,24
Benign,rst,0.0068197594599719,0.0098721604864269,0.0030524010264550002,24,20
Benign,http,0.0068147526335351,0.0148790593269345,0.0080643066933994,25,14
Benign,syn,0.0067733191673587,0.0096165954377178,0.0028432762703591,26,21
Benign,telnet,0.0060973168996204,0.0077165587810699,0.0016192418814494998,27,26
Benign,rst_cnt,0.0059195190841581,0.0172908196706186,0.011371300586460503,28,12
Benign,ipv,0.0049277292288278,0.0035911616990071,-0.0013365675298207002,29,34
Benign,llc,0.004710147995064,0.0033198506842574,-0.0013902973108066005,30,36
Benign,fin_cnt,0.0042755785949187,0.0187852424567514,0.014509663861832701,31,11
Benign,arp,0.0037247124878857,0.0037132893194587,-1.1423168426999766e-05,32,33
Benign,smtp,0.0035606737309686,0.003963363849171,0.00040269011820239994,33,32
Benign,cwr,0.0034208626226453,0.0045314628067031,0.0011106001840578,34,31
Benign,dhcp,0.0029354432517026,0.0034279246684726,0.0004924814167699999,35,35
Benign,icmp,0.0027406643974193,0.0027397286907466,-9.357066727000429e-07,36,38
Benign,irc,0.0022440154979614,0.0056644415274921,0.0034204260295306998,37,30
Benign,ssh,0.0022417368288633,0.0066384299702536,0.004396693141390301,38,28
Benign,igmp,0.0022047631614909,0.0032807322637943,0.0010759691023034,39,37
BruteForce,max,0.0847096496682572,0.0711513208808426,-0.0135583287874146,1,5
BruteForce,irc,0.0748533164290326,0.1085221840633162,0.03366886763428359,2,2
BruteForce,ack_cnt,0.0723919871818861,0.0905949001442727,0.018202912962386603,3,3
BruteForce,ssh,0.062657593426092,0.1920594960668582,0.1294019026407662,4,1
BruteForce,avg,0.0582040341305499,0.0213993254088727,-0.036804708721677196,5,12
BruteForce,rate,0.0504180081310606,0.030129121738752,-0.0202888863923086,7,9
BruteForce,tot_size,0.0461383106957823,0.0144332002615302,-0.0317051104342521,8,15
BruteForce,ttl,0.0375775890622636,0.0561414634141394,0.0185638743518758,9,6
BruteForce,std,0.0372981533387356,0.0108154509445054,-0.0264827023942302,10,21
BruteForce,header_len,0.0350917565037196,0.0215988111360666,-0.013492945367653001,11,10
BruteForce,var,0.0339565204021003,0.0067142315900577,-0.027242288812042603,12,26
BruteForce,tot_sum,0.0327877641706969,0.0131632716459557,-0.0196244925247412,13,17
BruteForce,psh,0.0322160940880131,0.082183299443787,0.0499672053557739,14,4
BruteForce,https,0.0282748016891398,0.050410475382441,0.0221356736933012,15,7
BruteForce,ack,0.0274612254645119,0.0214767711848021,-0.005984454279709801,16,11
BruteForce,min,0.0196851696917684,0.0182612728049005,-0.0014238968868678994,17,14
BruteForce,proto_num,0.0181743880318311,0.0322287070692549,0.014054319037423803,18,8
BruteForce,iat,0.0181131703888866,0.0068717889529184,-0.0112413814359682,19,25
BruteForce,fin,0.0160226549145959,0.0128929338834973,-0.0031297210310985996,20,19
BruteForce,syn_cnt,0.0159410680938483,0.013609060684622,-0.002332007409226299,21,16
BruteForce,syn,0.0154370213766194,0.0129702350844099,-0.0024667862922095,22,18
BruteForce,udp,0.0151484313073972,0.0042525870669782,-0.010895844240418999,23,33
BruteForce,tcp,0.0147184369856754,0.0127514603305407,-0.0019669766551347004,24,20
BruteForce,dns,0.0141910976459657,0.0205526337694783,0.0063615361235126,25,13
BruteForce,fin_cnt,0.0113594768988022,0.0060088121618517,-0.0053506647369504995,26,30
BruteForce,ipv,0.008980935827657,0.0065009541215198,-0.002479981706137199,27,27
BruteForce,rst_cnt,0.0087316595487933,0.0060586811014286,-0.0026729784473647003,28,29
BruteForce,llc,0.0086116264978445,0.0031848873844986,-0.0054267391133459,29,36
BruteForce,ece,0.0082133559130149,0.0076997856141471,-0.0005135702988678,30,23
BruteForce,rst,0.0067177269041109,0.0075098880273647,0.0007921611232538,31,24
BruteForce,telnet,0.0054781925570516,0.0060009523374528,0.0005227597804011996,32,31
BruteForce,cwr,0.0046952278234896,0.0046420842589965,-5.314356449310012e-05,33,32
BruteForce,arp,0.0043224290863745,0.0037998024721837,-0.0005226266141907998,34,35
BruteForce,icmp,0.0038894116749922,0.0023096023304806,-0.0015798093445116,35,38
BruteForce,http,0.0035995959011121,0.0078919807248265,0.0042923848237144,36,22
BruteForce,smtp,0.0032882252736871,0.0063342420042889,0.0030460167306018003,37,28
BruteForce,igmp,0.0031662299161378,0.0038672384590637,0.0007010085429258999,38,34
BruteForce,dhcp,0.0031636214280179,0.0030070860490952,-0.00015653537892269982,39,37
DDoS,proto_num,0.1341171056338204,0.1195418618624013,-0.014575243771419097,1,1
DDoS,tot_size,0.0955621606077022,0.0220156279634685,-0.0735465326442337,2,15
DDoS,ack_cnt,0.0544490637795998,0.0618236235897969,0.0073745598101971,4,3
DDoS,psh,0.0505771236779235,0.0534870965708701,0.0029099728929466023,5,4
DDoS,avg,0.0496278059824243,0.0207918899340501,-0.0288359160483742,6,17
DDoS,iat,0.0477913994265577,0.066671736124614,0.018880336698056298,7,2
