cohort_order,row,SampleID,true_category,input_target_logit,baseline_target_logit,logit_difference,convergence_delta,absolute_delta,relative_delta
0,127,Merged54:6673,Benign,2.293003559112549,-2.440931797027588,4.733935356140137,-0.06385183334350586,0.06385183334350586,0.01348810842139765
1,291,Merged63:362600,Benign,4.219917297363281,-2.453627347946167,6.673544645309448,-0.07919883728027344,0.07919883728027344,0.011867581845869413
2,296,Merged01:707054,Benign,4.324577808380127,-2.4851086139678955,6.8096864223480225,-0.05005788803100586,0.05005788803100586,0.00735098283919887
3,460,Merged61:676602,Benign,3.2588515281677246,-2.4733550548553467,5.732206583023071,0.06666088104248047,0.06666088104248047,0.011629183295645395
4,649,Merged46:647972,Benign,3.9278934001922607,-2.440931797027588,6.368825197219849,0.11036300659179688,0.11036300659179688,0.017328628620545763
5,728,Merged55:416245,Benign,4.183947563171387,-2.4957661628723145,6.679713726043701,-0.9084305763244629,0.9084305763244629,0.13599842951091756
6,904,Merged47:165921,Benign,4.367653846740723,-2.462611675262451,6.830265522003174,-0.014588356018066406,0.014588356018066406,0.0021358402497049555
7,1021,Merged28:1113,Benign,3.650871753692627,-2.447833299636841,6.098705053329468,0.04827165603637695,0.04827165603637695,0.007915066495964417
8,1101,Merged25:388512,Benign,2.7936487197875977,-2.4291839599609375,5.222832679748535,0.006094455718994141,0.006094455718994141,0.0011668870309832656
9,1116,Merged17:285443,Benign,3.068563938140869,-2.4571497440338135,5.525713682174683,-0.05279970169067383,0.05279970169067383,0.00955527280774601
10,1202,Merged43:565569,Benign,3.5554115772247314,-2.4365041255950928,5.991915702819824,0.12609004974365234,0.12609004974365234,0.021043361755625795
11,1212,Merged43:220593,Benign,4.238173484802246,-2.465226888656616,6.703400373458862,1.585442066192627,1.585442066192627,0.23651310944665546
12,1619,Merged15:633965,Benign,3.1478896141052246,-2.419931411743164,5.567821025848389,-0.07081794738769531,0.07081794738769531,0.012719149386973072
13,1706,Merged34:129202,Benign,3.186746597290039,-2.4413797855377197,5.628126382827759,-0.05861186981201172,0.05861186981201172,0.01041409979542129
14,1712,Merged56:500329,Benign,4.134390354156494,-2.4731762409210205,6.607566595077515,0.6280097961425781,0.6280097961425781,0.09504403581954528
15,1853,Merged21:416623,Benign,4.228518486022949,-2.461430788040161,6.68994927406311,0.5000557899475098,0.5000557899475098,0.0747473216106769
16,2093,Merged30:462515,Benign,1.8676718473434448,-2.445985794067383,4.313657641410828,0.024235248565673828,0.024235248565673828,0.005618259625663624
17,2276,Merged01:651325,Benign,3.1009202003479004,-2.416003465652466,5.516923666000366,0.051409244537353516,0.051409244537353516,0.009318462181048075
18,2403,Merged50:25982,Benign,3.46476674079895,-2.440931797027588,5.905698537826538,0.07155227661132812,0.07155227661132812,0.012115802415756454
19,2566,Merged03:135899,Benign,1.7026631832122803,-2.4365041255950928,4.139167308807373,-0.028044700622558594,0.028044700622558594,0.006775445042505221
20,2694,Merged19:283541,Benign,3.610654592514038,-2.4502599239349365,6.060914516448975,0.25467777252197266,0.25467777252197266,0.04201969386481063
21,2700,Merged38:347651,Benign,4.222498893737793,-2.4388647079467773,6.66136360168457,-0.06784868240356445,0.06784868240356445,0.010185404439776629
22,2778,Merged25:188810,Benign,3.935121536254883,-2.457740306854248,6.392861843109131,-0.0012574195861816406,0.0012574195861816406,0.00019669118730244637
23,3393,Merged08:446898,Benign,2.8048760890960693,-2.4424145221710205,5.24729061126709,-0.04444408416748047,0.04444408416748047,0.008469910942620411
24,3858,Merged05:388684,Benign,4.409567832946777,-2.4758551120758057,6.885422945022583,0.02267313003540039,0.02267313003540039,0.003292917547177057
25,3960,Merged44:95386,Benign,4.352768898010254,-2.4592068195343018,6.811975717544556,-0.1150059700012207,0.1150059700012207,0.016882909565431592
26,4135,Merged53:52609,Benign,4.248429775238037,-2.4731762409210205,6.721606016159058,-0.3696589469909668,0.3696589469909668,0.05499562844092457
27,4243,Merged27:544478,Benign,4.343905448913574,-2.4731762409210205,6.817081689834595,0.21208906173706055,0.21208906173706055,0.03111141561547087
28,4645,Merged24:741808,Benign,4.274810791015625,-2.484684944152832,6.759495735168457,-0.5823073387145996,0.5823073387145996,0.08614656499965787
29,5011,Merged56:311308,Benign,3.6368730068206787,-2.440931797027588,6.077804803848267,-0.0481114387512207,0.0481114387512207,0.007915923644135152
30,5016,Merged19:631673,Benign,4.110110759735107,-2.4733550548553467,6.583465814590454,0.04821634292602539,0.04821634292602539,0.007323854073817325
31,5097,Merged44:138292,Benign,3.827432155609131,-2.4365041255950928,6.263936281204224,0.024558067321777344,0.024558067321777344,0.003920548712391456
32,5122,Merged10:696710,Benign,4.064381122589111,-2.4652841091156006,6.529665231704712,0.32370996475219727,0.32370996475219727,0.04957527733281446
33,5263,Merged16:595683,Benign,3.589191436767578,-2.4291839599609375,6.018375396728516,-0.15856122970581055,0.15856122970581055,0.026346184684990184
34,5345,Merged01:106764,Benign,3.612114906311035,-2.462611675262451,6.074726581573486,0.30962705612182617,0.30962705612182617,0.050969710646898946
35,5435,Merged59:656589,Benign,3.9883532524108887,-2.435786724090576,6.424139976501465,-0.01928234100341797,0.01928234100341797,0.0030015443427369053
36,5537,Merged24:70030,Benign,4.410343170166016,-2.477095127105713,6.8874382972717285,-0.008744239807128906,0.008744239807128906,0.0012695924710632543
37,5540,Merged60:507092,Benign,4.059731960296631,-2.462611675262451,6.522343635559082,-0.16924428939819336,0.16924428939819336,0.025948385864782188
38,6023,Merged17:540220,Benign,4.351062774658203,-2.4592068195343018,6.810269594192505,-0.007473945617675781,0.007473945617675781,0.001097452239489789
39,6353,Merged49:77003,Benign,3.5429039001464844,-2.457740306854248,6.000644207000732,-0.14392709732055664,0.14392709732055664,0.023985274306488984
40,6427,Merged53:570744,Benign,4.169412612915039,-2.445985794067383,6.615398406982422,-0.008044719696044922,0.008044719696044922,0.001216059744422026
41,6559,Merged05:684670,Benign,3.836888074874878,-2.440931797027588,6.277819871902466,-0.04270029067993164,0.04270029067993164,0.006801770606870169
42,6585,Merged11:174380,Benign,2.6256215572357178,-2.440931797027588,5.066553354263306,-0.14043426513671875,0.14043426513671875,0.027717909063081084
43,6622,Merged22:577124,Benign,3.983227491378784,-2.447833299636841,6.431060791015625,0.4453544616699219,0.4453544616699219,0.06925054452790973
44,6773,Merged48:538491,Benign,4.2215704917907715,-2.4705417156219482,6.69211220741272,0.8215951919555664,0.8215951919555664,0.12277068382767128
45,7027,Merged07:568049,Benign,4.425233840942383,-2.4502599239349365,6.875493764877319,0.09871244430541992,0.09871244430541992,0.01435714258220715
46,7094,Merged28:86241,Benign,2.394296884536743,-2.462611675262451,4.856908559799194,0.1490030288696289,0.1490030288696289,0.030678574042536502
47,7116,Merged25:334821,Benign,4.322735786437988,-2.461430788040161,6.784166574478149,-0.0571284294128418,0.0571284294128418,0.008420847098265157
48,7135,Merged10:167309,Benign,4.2241997718811035,-2.4291839599609375,6.653383731842041,-0.03325176239013672,0.03325176239013672,0.004997722020901793
49,7156,Merged56:71502,Benign,2.1762959957122803,-2.4733550548553467,4.649651050567627,-0.09418010711669922,0.09418010711669922,0.020255306493419924
50,7224,Merged01:43263,Benign,4.3896684646606445,-2.4758551120758057,6.86552357673645,-0.02588176727294922,0.02588176727294922,0.0037698169678782464
51,7298,Merged16:329224,Benign,2.5310609340667725,-2.4388647079467773,4.96992564201355,-0.0483088493347168,0.0483088493347168,0.009720235837400702
52,7441,Merged34:323013,Benign,4.342121601104736,-2.4571497440338135,6.79927134513855,-0.0764613151550293,0.0764613151550293,0.011245516066908965
53,7857,Merged62:497553,Benign,3.2238428592681885,-2.435786724090576,5.659629583358765,0.04184675216674805,0.04184675216674805,0.0073939030020253845
54,7949,Merged16:534123,Benign,2.4825634956359863,-2.4502599239349365,4.932823419570923,-0.026095867156982422,0.026095867156982422,0.0052902496070399265
55,7969,Merged18:366204,Benign,4.193731307983398,-2.4571497440338135,6.650881052017212,-0.007942676544189453,0.007942676544189453,0.0011942292279878378
56,8027,Merged21:448423,Benign,4.112241744995117,-2.445985794067383,6.5582275390625,0.1331634521484375,0.1331634521484375,0.020304792926942764
57,8126,Merged42:561838,Benign,4.180745601654053,-2.457740306854248,6.638485908508301,-1.2412610054016113,1.2412610054016113,0.1869795345668706
58,8450,Merged28:147838,Benign,3.010972261428833,-2.4592068195343018,5.470179080963135,-0.012058734893798828,0.012058734893798828,0.002204449747498147
59,8567,Merged19:587818,Benign,2.4600772857666016,-2.4731762409210205,4.933253526687622,0.2925992012023926,0.2925992012023926,0.059311608377616676
60,57,Merged54:711336,BruteForce,2.274716377258301,-2.864654064178467,5.139370441436768,0.04894208908081055,0.04894208908081055,0.009522973609025981
61,158,Merged60:443500,BruteForce,4.956399917602539,-2.8790109157562256,7.835410833358765,0.09446430206298828,0.09446430206298828,0.012056075178701864
62,307,Merged50:148877,BruteForce,4.835882186889648,-2.879587173461914,7.7154693603515625,-0.0333409309387207,0.0333409309387207,0.004321309486374721
63,463,Merged21:39886,BruteForce,4.651782035827637,-2.891322612762451,7.543104648590088,0.04870462417602539,0.04870462417602539,0.006456840577590153
64,661,Merged02:427842,BruteForce,2.070805311203003,-2.873102903366089,4.943908214569092,-0.05271148681640625,0.05271148681640625,0.010661906436909965
65,707,Merged10:51519,BruteForce,2.2961268424987793,-2.893155813217163,5.189282655715942,-0.039063453674316406,0.039063453674316406,0.007527717464241114
66,745,Merged10:896641,BruteForce,2.578871726989746,-2.8815205097198486,5.460392236709595,-0.03471183776855469,0.03471183776855469,0.006357022767557056
67,844,Merged18:482599,BruteForce,4.9573211669921875,-2.907895565032959,7.8652167320251465,0.08049726486206055,0.08049726486206055,0.010234589535758922
68,1037,Merged15:345465,BruteForce,4.951373100280762,-2.8747644424438477,7.826137542724609,0.02092456817626953,0.02092456817626953,0.0026736775404262577
69,1508,Merged14:138262,BruteForce,4.7748823165893555,-2.893155813217163,7.6680381298065186,-0.11755084991455078,0.11755084991455078,0.015329977228154035
70,1575,Merged40:11791,BruteForce,2.7958080768585205,-2.903043031692505,5.698851108551025,0.05663156509399414,0.05663156509399414,0.009937365271575438
71,1766,Merged60:564604,BruteForce,4.784297943115234,-2.8800110816955566,7.664309024810791,-0.00897836685180664,0.00897836685180664,0.0011714515715300624
72,1886,Merged22:218344,BruteForce,4.917159080505371,-2.8830783367156982,7.800237417221069,0.1537952423095703,0.1537952423095703,0.019716738617471693
73,2029,Merged27:520187,BruteForce,4.876670837402344,-2.8790109157562256,7.755681753158569,-0.048357486724853516,0.048357486724853516,0.0062351045677137935
74,2217,Merged19:259663,BruteForce,3.1969552040100098,-2.907895565032959,6.104850769042969,0.12613153457641602,0.12613153457641602,0.020660871059455743
75,2267,Merged03:422817,BruteForce,4.713562965393066,-2.8747644424438477,7.588327407836914,-0.05614900588989258,0.05614900588989258,0.007399391575000333
76,2519,Merged51:130336,BruteForce,2.7411320209503174,-2.9013257026672363,5.642457723617554,0.0606379508972168,0.0606379508972168,0.010746726669019673
77,2723,Merged60:7485,BruteForce,4.809741497039795,-2.8747644424438477,7.684505939483643,0.025786876678466797,0.025786876678466797,0.003355697410027578
78,2798,Merged40:105758,BruteForce,4.563571929931641,-2.8747644424438477,7.438336372375488,0.26407527923583984,0.26407527923583984,0.03550192758377576
79,2898,Merged10:75841,BruteForce,2.191791534423828,-2.879587173461914,5.071378707885742,0.024198532104492188,0.024198532104492188,0.004771588457171355
80,3280,Merged23:88263,BruteForce,4.202445983886719,-2.9068264961242676,7.109272480010986,-0.16423892974853516,0.16423892974853516,0.023102072710016786
81,3335,Merged18:512686,BruteForce,4.788457870483398,-2.893155813217163,7.6816136837005615,-0.0581202507019043,0.0581202507019043,0.007566151214454889
82,3476,Merged02:149929,BruteForce,3.429189443588257,-2.9032297134399414,6.332419157028198,0.5027351379394531,0.5027351379394531,0.07939069184665068
83,3514,Merged21:600929,BruteForce,4.9201812744140625,-2.8790109157562256,7.799192190170288,-0.015846729278564453,0.015846729278564453,0.0020318423872842726
84,3696,Merged17:38594,BruteForce,4.712357521057129,-2.880635976791382,7.592993497848511,0.09576797485351562,0.09576797485351562,0.012612677052950416
85,3812,Merged36:306072,BruteForce,4.562412738800049,-2.880635976791382,7.443048715591431,-0.018595218658447266,0.018595218658447266,0.0024983335954116047
