class,feature,signed_mean,abs_mean,rank
Benign,https,0.15918653539923683,0.15919702442453873,1
Benign,ttl,0.13111848570360968,0.14926086207603195,2
Benign,ack_cnt,0.10332571769351692,0.10332571769351692,3
Benign,psh,0.09597861736688319,0.09753502068319066,4
Benign,proto_num,0.07532325197496784,0.0809982474462596,5
Benign,dns,0.048794828659390874,0.048794828659390874,6
Benign,ack,0.0026327270032223426,0.03381319982859258,7
Benign,max,-0.008072448008287079,0.028397402686653795,8
Benign,rate,0.0034808177228165373,0.027545782644845262,9
Benign,header_len,0.021549199070813183,0.023840011229770783,10
Benign,fin_cnt,0.018648661934219827,0.018785242456751495,11
Benign,rst_cnt,0.01718808595094475,0.01729081967061867,12
Benign,syn_cnt,0.015607513239797291,0.016887035725274665,13
Benign,http,0.01487780293848261,0.014879059326934552,14
Benign,min,-0.00672070991404876,0.01414966909564116,15
Benign,avg,-0.002380574002952391,0.01359616132236116,16
Benign,tot_sum,-0.000576438495080924,0.01231935583360323,17
Benign,fin,0.011432010313367774,0.01212111531514138,18
Benign,tot_size,0.005096462945885124,0.011971203886603936,19
Benign,rst,0.005709510331292833,0.009872160486426905,20
Benign,syn,-0.0017130916916588833,0.009616595437717828,21
Benign,std,0.003357080672099183,0.008794967994099732,22
Benign,tcp,0.005792125922178511,0.008373640140706495,23
Benign,ece,0.00044517308305457444,0.008248515753774284,24
Benign,var,0.0050647265380778204,0.008043202535334398,25
Benign,telnet,0.007716558781069976,0.007716558781069976,26
Benign,iat,0.0050804899053878035,0.007362347260861465,27
Benign,ssh,0.006415817394235967,0.006638429970253666,28
Benign,udp,0.004691728068942305,0.006393866124930633,29
Benign,irc,0.005148665356368337,0.005664441527492164,30
Benign,cwr,0.002446450424314093,0.004531462806703115,31
Benign,smtp,0.0019031311877975418,0.0039633638491710635,32
Benign,arp,-0.002677697496392592,0.003713289319458721,33
Benign,ipv,-0.0021348917253933295,0.0035911616990071393,34
Benign,dhcp,0.001874212561824087,0.00342792466847267,35
Benign,llc,0.0011445635506429806,0.003319850684257475,36
Benign,igmp,-0.0026537038470222252,0.003280732263794332,37
Benign,icmp,-0.0001247127160758804,0.002739728690746625,38
BruteForce,ssh,0.18984744527625225,0.1920594960668582,1
BruteForce,irc,0.10821837133368724,0.10852218406331628,2
BruteForce,ack_cnt,0.09038715713632993,0.09059490014427272,3
BruteForce,psh,0.0787654729586639,0.08218329944378708,4
BruteForce,max,0.06681903873023752,0.07115132088084263,5
BruteForce,ttl,0.04136663307527737,0.05614146341413946,6
BruteForce,https,0.04920754680563941,0.05041047538244104,7
BruteForce,proto_num,0.018191986213407712,0.03222870706925497,8
BruteForce,rate,0.0036511175187299194,0.030129121738752054,9
BruteForce,header_len,0.01987088561166019,0.021598811136066633,10
BruteForce,ack,-0.00195788983145606,0.021476771184802183,11
BruteForce,avg,0.01682414596077377,0.021399325408872797,12
BruteForce,dns,0.020400551221627372,0.020552633769478364,13
BruteForce,min,0.005837464263520725,0.018261272804900516,14
BruteForce,tot_size,0.009816971483396886,0.014433200261530273,15
BruteForce,syn_cnt,0.008878793160575724,0.013609060684622021,16
BruteForce,tot_sum,0.0012604168328165508,0.013163271645955796,17
BruteForce,syn,0.011464063761048582,0.012970235084409913,18
BruteForce,fin,0.010290073700657456,0.012892933883497385,19
BruteForce,tcp,0.010266270612454716,0.012751460330540702,20
BruteForce,std,0.006980817912993405,0.010815450944505499,21
BruteForce,http,0.006288336537880028,0.007891980724826551,22
BruteForce,ece,-0.007155830325213867,0.007699785614147138,23
BruteForce,rst,0.005147954750592326,0.007509888027364703,24
BruteForce,iat,-0.0022145730906563063,0.006871788952918479,25
BruteForce,var,0.0024525065233533404,0.006714231590057714,26
BruteForce,ipv,-0.00590003570316303,0.006500954121519863,27
BruteForce,smtp,2.129919937674902e-05,0.0063342420042889055,28
BruteForce,rst_cnt,2.3155772465063578e-05,0.00605868110142868,29
BruteForce,fin_cnt,0.002340411453853358,0.006008812161851726,30
BruteForce,telnet,0.005427732900969846,0.00600095233745282,31
BruteForce,cwr,-0.002667728432463911,0.004642084258996551,32
BruteForce,udp,0.002396509841714284,0.00425258706697829,33
BruteForce,igmp,-0.003617736010100933,0.0038672384590637383,34
BruteForce,arp,-0.002188960878725376,0.0037998024721837575,35
BruteForce,llc,-0.0002008729947157536,0.0031848873844986234,36
