cohort_order,row,SampleID,true_category,input_target_logit,baseline_target_logit,logit_difference,convergence_delta,absolute_delta,relative_delta
0,127,Merged54:6673,Benign,2.385028123855591,-3.108447790145874,5.493475914001465,0.13015270233154297,0.13015270233154297,0.02369223136117099
1,291,Merged63:362600,Benign,4.822335243225098,-3.102644681930542,7.92497992515564,-0.07963848114013672,0.07963848114013672,0.0100490451574958
2,296,Merged01:707054,Benign,4.511262893676758,-3.0725107192993164,7.583773612976074,0.24772262573242188,0.24772262573242188,0.03266482339459088
3,460,Merged61:676602,Benign,5.079899311065674,-3.1295266151428223,8.209425926208496,-0.12113571166992188,0.12113571166992188,0.014755686056341349
4,649,Merged46:647972,Benign,5.047028541564941,-3.108447790145874,8.155476331710815,-0.2716207504272461,0.2716207504272461,0.03330532017745024
5,728,Merged55:416245,Benign,4.853395462036133,-3.0783190727233887,7.9317145347595215,-0.014637947082519531,0.014637947082519531,0.0018454959540425938
6,904,Merged47:165921,Benign,5.380268573760986,-3.114764451980591,8.495033025741577,-0.10618877410888672,0.10618877410888672,0.012500101387141686
7,1021,Merged28:1113,Benign,5.090136528015137,-3.118527889251709,8.208664417266846,-0.05260467529296875,0.05260467529296875,0.006408432921476888
8,1101,Merged25:388512,Benign,3.102184295654297,-3.0975780487060547,6.199762344360352,0.031219005584716797,0.031219005584716797,0.005035516500582533
9,1116,Merged17:285443,Benign,5.031762599945068,-3.1344399452209473,8.166202545166016,-0.01663494110107422,0.01663494110107422,0.0020370473312496117
10,1202,Merged43:565569,Benign,4.729748249053955,-3.102964401245117,7.832712650299072,0.018217086791992188,0.018217086791992188,0.0023257698329194566
11,1212,Merged43:220593,Benign,5.282722473144531,-3.059474468231201,8.342196941375732,-0.12691116333007812,0.12691116333007812,0.015213158382850272
12,1619,Merged15:633965,Benign,4.197678089141846,-3.1241424083709717,7.321820497512817,0.02840280532836914,0.02840280532836914,0.0038791998981697814
13,1706,Merged34:129202,Benign,3.9884986877441406,-3.111534595489502,7.100033283233643,-0.02437734603881836,0.02437734603881836,0.00343341292446955
14,1712,Merged56:500329,Benign,4.935068130493164,-3.086655616760254,8.021723747253418,0.15871429443359375,0.15871429443359375,0.019785559741811905
15,1853,Merged21:416623,Benign,4.8786773681640625,-3.1011242866516113,7.979801654815674,0.13640403747558594,0.13640403747558594,0.017093662646773738
16,2093,Merged30:462515,Benign,4.6591267585754395,-3.1147255897521973,7.773852348327637,0.051378726959228516,0.051378726959228516,0.006609171959676009
17,2276,Merged01:651325,Benign,3.8956968784332275,-3.1213908195495605,7.017087697982788,0.03211498260498047,0.03211498260498047,0.004576682519474939
18,2403,Merged50:25982,Benign,2.37797474861145,-3.108447790145874,5.486422538757324,0.04669380187988281,0.04669380187988281,0.008510792150992251
19,2566,Merged03:135899,Benign,3.9952595233917236,-3.102964401245117,7.098223924636841,-0.08286523818969727,0.08286523818969727,0.01167408059670882
20,2694,Merged19:283541,Benign,3.613269090652466,-3.1274092197418213,6.740678310394287,0.08992195129394531,0.08992195129394531,0.013340193249584914
21,2700,Merged38:347651,Benign,4.868550777435303,-3.1105635166168213,7.979114294052124,-0.09597396850585938,0.09597396850585938,0.012028148108794646
22,2778,Merged25:188810,Benign,5.113043308258057,-3.0920403003692627,8.20508360862732,0.2028512954711914,0.2028512954711914,0.02472263600798672
23,3393,Merged08:446898,Benign,2.7756190299987793,-3.117213010787964,5.892832040786743,-0.0057697296142578125,0.0057697296142578125,0.0009791098022687754
24,3858,Merged05:388684,Benign,4.8282551765441895,-3.092195987701416,7.9204511642456055,-0.018016815185546875,0.018016815185546875,0.002274720822328675
25,3960,Merged44:95386,Benign,4.861231803894043,-3.1283273696899414,7.989559173583984,-0.027118682861328125,0.027118682861328125,0.0033942652244182744
26,4135,Merged53:52609,Benign,4.873256683349609,-3.086655616760254,7.959912300109863,0.18956565856933594,0.18956565856933594,0.023815043611312092
27,4243,Merged27:544478,Benign,4.998946189880371,-3.086655616760254,8.085601806640625,0.12580490112304688,0.12580490112304688,0.015559126473396767
28,4645,Merged24:741808,Benign,5.395838737487793,-3.062047243118286,8.457885980606079,-0.18375682830810547,0.18375682830810547,0.021726094289927722
29,5011,Merged56:311308,Benign,5.079514980316162,-3.108447790145874,8.187962770462036,0.14421844482421875,0.14421844482421875,0.017613471002150233
30,5016,Merged19:631673,Benign,4.6881937980651855,-3.1295266151428223,7.817720413208008,0.052107810974121094,0.052107810974121094,0.006665345934613516
31,5097,Merged44:138292,Benign,2.7887158393859863,-3.102964401245117,5.8916802406311035,0.1926579475402832,0.1926579475402832,0.03270000062319168
32,5122,Merged10:696710,Benign,4.663009166717529,-3.0929670333862305,7.75597620010376,0.07790803909301758,0.07790803909301758,0.010044904352849267
33,5263,Merged16:595683,Benign,2.0291895866394043,-3.0975780487060547,5.126767635345459,0.06579017639160156,0.06579017639160156,0.012832681539538586
34,5345,Merged01:106764,Benign,3.0952675342559814,-3.114764451980591,6.210031986236572,0.08495807647705078,0.08495807647705078,0.01368077920779558
35,5435,Merged59:656589,Benign,4.515335559844971,-3.1102781295776367,7.625613689422607,-0.02106332778930664,0.02106332778930664,0.0027621813334870763
36,5537,Merged24:70030,Benign,4.807526588439941,-3.0939362049102783,7.90146279335022,0.08431529998779297,0.08431529998779297,0.010670846929602929
37,5540,Merged60:507092,Benign,5.368711471557617,-3.114764451980591,8.483475923538208,0.06156349182128906,0.06156349182128906,0.007256871166507978
38,6023,Merged17:540220,Benign,4.6344780921936035,-3.1283273696899414,7.762805461883545,-0.12648296356201172,0.12648296356201172,0.016293460422660423
39,6353,Merged49:77003,Benign,4.071374416351318,-3.0920403003692627,7.163414716720581,-0.014435768127441406,0.014435768127441406,0.002015207648629635
40,6427,Merged53:570744,Benign,4.790037155151367,-3.1147255897521973,7.9047627449035645,0.08827495574951172,0.08827495574951172,0.011167312492259836
41,6559,Merged05:684670,Benign,4.685041904449463,-3.108447790145874,7.793489694595337,-0.07279729843139648,0.07279729843139648,0.009340783305568527
42,6585,Merged11:174380,Benign,4.127561092376709,-3.108447790145874,7.236008882522583,-0.0451807975769043,0.0451807975769043,0.006243883653325973
43,6622,Merged22:577124,Benign,3.9376845359802246,-3.118527889251709,7.056212425231934,-0.35682106018066406,0.35682106018066406,0.05056835575197916
44,6773,Merged48:538491,Benign,5.275591850280762,-3.0440099239349365,8.319601774215698,-0.3070802688598633,0.3070802688598633,0.0369104528309965
45,7027,Merged07:568049,Benign,5.334291934967041,-3.1274092197418213,8.461701154708862,0.07502365112304688,0.07502365112304688,0.008866261021437382
46,7094,Merged28:86241,Benign,2.971494674682617,-3.114764451980591,6.086259126663208,0.2818422317504883,0.2818422317504883,0.04630795795659925
47,7116,Merged25:334821,Benign,5.1018242835998535,-3.1011242866516113,8.202948570251465,0.024377822875976562,0.024377822875976562,0.0029718366106041855
48,7135,Merged10:167309,Benign,4.775796890258789,-3.0975780487060547,7.873374938964844,-0.021553516387939453,0.021553516387939453,0.002737519368126677
49,7156,Merged56:71502,Benign,2.5937960147857666,-3.1295266151428223,5.723322629928589,-0.054996490478515625,0.054996490478515625,0.00960918928297457
50,7224,Merged01:43263,Benign,4.748707294464111,-3.092195987701416,7.840903282165527,-0.024055957794189453,0.024055957794189453,0.0030680084842910596
51,7298,Merged16:329224,Benign,3.880736827850342,-3.1105635166168213,6.991300344467163,0.1493701934814453,0.1493701934814453,0.021365151848991185
52,7441,Merged34:323013,Benign,5.030487537384033,-3.1344399452209473,8.16492748260498,-0.06236553192138672,0.06236553192138672,0.007638222391350535
53,7857,Merged62:497553,Benign,3.6035501956939697,-3.1102781295776367,6.7138283252716064,0.05449247360229492,0.05449247360229492,0.008116453230890506
54,7949,Merged16:534123,Benign,2.8197922706604004,-3.1274092197418213,5.947201490402222,-0.009736061096191406,0.009736061096191406,0.0016370827710989386
55,7969,Merged18:366204,Benign,4.017204284667969,-3.1344399452209473,7.151644229888916,-0.014916419982910156,0.014916419982910156,0.0020857329452393424
56,8027,Merged21:448423,Benign,5.084986209869385,-3.1147255897521973,8.199711799621582,0.05387115478515625,0.05387115478515625,0.006569883930267209
57,8126,Merged42:561838,Benign,4.729856967926025,-3.0920403003692627,7.821897268295288,0.13323402404785156,0.13323402404785156,0.017033466367283128
58,8450,Merged28:147838,Benign,4.467745304107666,-3.1283273696899414,7.596072673797607,0.04308938980102539,0.04308938980102539,0.005672587882111866
59,8567,Merged19:587818,Benign,3.114891529083252,-3.086655616760254,6.201547145843506,-0.2416672706604004,0.2416672706604004,0.03896886776429238
60,57,Merged54:711336,BruteForce,2.4165189266204834,-3.1347317695617676,5.551250696182251,-0.024255752563476562,0.024255752563476562,0.004369421215323227
61,158,Merged60:443500,BruteForce,4.768522262573242,-3.1579737663269043,7.9264960289001465,-0.08898162841796875,0.08898162841796875,0.011225846590162935
62,307,Merged50:148877,BruteForce,2.620854616165161,-3.142606258392334,5.763460874557495,0.021573543548583984,0.021573543548583984,0.0037431578036417833
63,463,Merged21:39886,BruteForce,1.8244621753692627,-3.1664557456970215,4.990917921066284,-0.008131980895996094,0.008131980895996094,0.0016293557667361393
64,661,Merged02:427842,BruteForce,3.064666986465454,-3.1359920501708984,6.2006590366363525,-0.006938457489013672,0.006938457489013672,0.0011189871025028253
65,707,Merged10:51519,BruteForce,2.9106926918029785,-3.159363269805908,6.070055961608887,0.016234397888183594,0.016234397888183594,0.002674505472578974
66,745,Merged10:896641,BruteForce,3.708606004714966,-3.1465063095092773,6.855112314224243,0.017134666442871094,0.017134666442871094,0.002499545690493932
67,844,Merged18:482599,BruteForce,4.699519157409668,-3.166985034942627,7.866504192352295,0.0459132194519043,0.0459132194519043,0.005836546746716347
68,1037,Merged15:345465,BruteForce,4.530775547027588,-3.1432416439056396,7.6740171909332275,0.0015778541564941406,0.0015778541564941406,0.00020560993248208503
69,1508,Merged14:138262,BruteForce,3.238323450088501,-3.159363269805908,6.397686719894409,0.047408103942871094,0.047408103942871094,0.007410194656054297
70,1575,Merged40:11791,BruteForce,2.8651998043060303,-3.1358940601348877,6.001093864440918,0.029540538787841797,0.029540538787841797,0.004922525702002812
71,1766,Merged60:564604,BruteForce,4.510631561279297,-3.1515607833862305,7.662192344665527,0.11623096466064453,0.11623096466064453,0.015169413587165474
72,1886,Merged22:218344,BruteForce,4.6191020011901855,-3.1458094120025635,7.764911413192749,0.032192230224609375,0.032192230224609375,0.004145859303676548
73,2029,Merged27:520187,BruteForce,3.9533851146698,-3.1579737663269043,7.111358880996704,-0.04221153259277344,0.04221153259277344,0.005935789952265383
74,2217,Merged19:259663,BruteForce,3.5735018253326416,-3.166985034942627,6.7404868602752686,0.0015244483947753906,0.0015244483947753906,0.0002261629502995775
75,2267,Merged03:422817,BruteForce,3.7838921546936035,-3.1432416439056396,6.927133798599243,0.032338619232177734,0.032338619232177734,0.004668398239791041
76,2519,Merged51:130336,BruteForce,3.8368513584136963,-3.1274027824401855,6.964254140853882,0.029520511627197266,0.029520511627197266,0.004238861912580602
77,2723,Merged60:7485,BruteForce,3.734776020050049,-3.1432416439056396,6.8780176639556885,0.06929302215576172,0.06929302215576172,0.010074562983298575
78,2798,Merged40:105758,BruteForce,1.542980432510376,-3.1432416439056396,4.686222076416016,0.07220697402954102,0.07220697402954102,0.01540835514239315
79,2898,Merged10:75841,BruteForce,1.8308042287826538,-3.142606258392334,4.973410487174988,-0.013012409210205078,0.013012409210205078,0.0026163955788005805
80,3280,Merged23:88263,BruteForce,4.9353132247924805,-3.1271870136260986,8.062500238418579,-0.010900497436523438,0.010900497436523438,0.0013519996420690362
81,3335,Merged18:512686,BruteForce,3.8477542400360107,-3.159363269805908,7.007117509841919,-0.0440673828125,0.0440673828125,0.006288945882612173
82,3476,Merged02:149929,BruteForce,4.786828994750977,-3.1389529705047607,7.925781965255737,0.033507347106933594,0.033507347106933594,0.004227639273174534
83,3514,Merged21:600929,BruteForce,4.662111759185791,-3.1579737663269043,7.820085525512695,-0.04168987274169922,0.04168987274169922,0.005331127467300426
84,3696,Merged17:38594,BruteForce,4.208193778991699,-3.1454017162323,7.353595495223999,-0.016635417938232422,0.016635417938232422,0.0022622155310333247
85,3812,Merged36:306072,BruteForce,4.019313812255859,-3.1454017162323,7.164715528488159,-0.06264781951904297,0.06264781951904297,0.008743936764822595
86,3835,Merged15:405656,BruteForce,3.1871531009674072,-3.1358847618103027,6.32303786277771,0.10716915130615234,0.10716915130615234,0.016948997243403024
87,3921,Merged26:171842,BruteForce,3.656914234161377,-3.1465063095092773,6.803420543670654,0.009637832641601562,0.009637832641601562,0.0014166157419987528
