class,eps,n,pred_preserved_frac,mean_spearman,mean_jaccard5
Benign,0.01,60,0.2667,0.4731,0.2761
Benign,0.05,60,0.2833,0.4736,0.2768
Benign,0.1,60,0.3667,0.4879,0.2695
BruteForce,0.01,60,0.0167,0.428,0.2081
BruteForce,0.05,60,0.0,0.444,0.2013
BruteForce,0.1,60,0.0333,0.4403,0.2118
DDoS,0.01,60,0.9667,0.4835,0.3046
DDoS,0.05,60,0.8667,0.4656,0.31
DDoS,0.1,60,0.8167,0.4385,0.3366
DoS,0.01,60,0.5833,0.4425,0.3625
DoS,0.05,60,0.35,0.4246,0.3586
DoS,0.1,60,0.5,0.4218,0.3675
Mirai,0.01,60,1.0,0.535,0.4734
Mirai,0.05,60,0.9667,0.5299,0.4447
Mirai,0.1,60,0.9833,0.5291,0.4266
Recon,0.01,60,0.0667,0.4163,0.2301
Recon,0.05,60,0.0,0.4087,0.2183
Recon,0.1,60,0.0833,0.4179,0.2231
Spoofing,0.01,60,0.4333,0.4579,0.2753
Spoofing,0.05,60,0.3167,0.436,0.2319
Spoofing,0.1,60,0.25,0.448,0.2061
Web,0.01,60,0.4833,0.5361,0.311
Web,0.05,60,0.4167,0.5152,0.2497
Web,0.1,60,0.4833,0.5328,0.2401
_ALL,0.01,480,0.4771,0.4716,0.3051
_ALL,0.05,480,0.4,0.4622,0.2864
_ALL,0.1,480,0.4396,0.4645,0.2852
