model,class,precision,recall,f1,support
distilbert,Benign,0.6545012165450121,0.7729885057471264,0.7088274044795784,696.0
distilbert,BruteForce,0.5524861878453039,0.4444444444444444,0.49261083743842365,225.0
distilbert,DDoS,0.8385684860968075,0.8411673553719008,0.8398659102630222,3872.0
distilbert,DoS,0.6723404255319149,0.6687830687830688,0.6705570291777189,1890.0
distilbert,Mirai,0.9990697674418605,0.9972144846796658,0.9981412639405205,1077.0
distilbert,Recon,0.6114649681528662,0.6956521739130435,0.6508474576271186,552.0
distilbert,Spoofing,0.9082125603864735,0.8103448275862069,0.856492027334852,464.0
distilbert,Web,0.47413793103448276,0.24553571428571427,0.3235294117647059,224.0
distilbert,_accuracy,,,0.7831111111111111,
distilbert,_macro_avg,0.7138476928793402,0.6845163218513963,0.6926089177532425,
distilbert,_weighted_avg,0.7820719053254436,0.7831111111111111,0.780849303157613,
distilbert,_roc_auc_macro_ovr,,,0.9698451584551895,
distilbert,_train_time_s,,,12691.304076958972,
distilbert,_infer_ms_per_sample,,,10.796140291669872,
distilbert,_infer_ms_per_sample_bs1,,,20.552681459812447,
distilbert,_model_size_mb,,,268.563831,
