class,feature,signed_mean,abs_mean,rank
Benign,num,0.402723,0.402723,1
Benign,https,0.172868,0.179882,2
Benign,max,0.076449,0.096357,3
Benign,psh,0.011285,0.039169,4
Benign,rate,0.007902,0.036782,5
Benign,ttl,0.017857,0.034969,6
Benign,iat,0.015448,0.029137,7
Benign,std,0.013929,0.025785,8
Benign,header_len,0.002049,0.024804,9
Benign,tot_sum,0.003993,0.022849,10
Benign,syn,0.014208,0.01813,11
Benign,avg,0.001816,0.015443,12
Benign,fin,0.01,0.014465,13
Benign,min,0.013321,0.013381,14
Benign,dns,-0.004189,0.008969,15
Benign,http,-0.003387,0.007004,16
Benign,arp,0.004531,0.006942,17
Benign,tcp,0.000931,0.006167,18
Benign,udp,0.001039,0.003962,19
Benign,ack,0.002494,0.003783,20
Benign,rst,0.002602,0.002602,21
Benign,ece,0.00099,0.001682,22
Benign,ssh,0.0016,0.00162,23
Benign,dhcp,0.000486,0.001544,24
Benign,icmp,0.000399,0.001074,25
Benign,ack_cnt,0.000404,0.000618,26
Benign,fin_cnt,0.000148,0.000148,27
Benign,proto_num,-9e-06,9e-06,28
Benign,var,0.0,0.0,29
Benign,cwr,0.0,0.0,30
Benign,syn_cnt,0.0,0.0,31
Benign,rst_cnt,0.0,0.0,32
Benign,telnet,0.0,0.0,33
Benign,irc,0.0,0.0,34
Benign,igmp,0.0,0.0,35
Benign,ipv,0.0,0.0,36
Benign,llc,0.0,0.0,37
Benign,tot_size,0.0,0.0,38
Benign,smtp,0.0,0.0,39
BruteForce,ssh,0.296567,0.329696,1
BruteForce,num,0.248173,0.248173,2
BruteForce,rate,0.048959,0.057094,3
BruteForce,iat,0.0352,0.03846,4
BruteForce,max,0.026277,0.03402,5
BruteForce,syn,0.018714,0.029846,6
BruteForce,https,0.016395,0.027303,7
BruteForce,dns,0.019674,0.026921,8
BruteForce,header_len,0.011614,0.026919,9
BruteForce,psh,0.0097,0.025875,10
BruteForce,min,0.0199,0.02521,11
BruteForce,std,0.01332,0.024428,12
BruteForce,http,0.016583,0.021942,13
BruteForce,ttl,0.006691,0.017205,14
BruteForce,rst,0.013636,0.016353,15
BruteForce,tot_sum,0.002271,0.009935,16
BruteForce,ack,0.002332,0.009447,17
BruteForce,icmp,0.001715,0.007989,18
BruteForce,avg,0.001416,0.006152,19
BruteForce,fin,0.00227,0.004375,20
BruteForce,udp,-0.001049,0.004103,21
BruteForce,arp,0.002346,0.003337,22
BruteForce,tcp,-1e-06,0.001511,23
BruteForce,ack_cnt,-0.000136,0.001231,24
BruteForce,syn_cnt,0.00073,0.000981,25
BruteForce,dhcp,0.000351,0.00084,26
BruteForce,igmp,-0.000369,0.000377,27
BruteForce,irc,0.000125,0.000125,28
BruteForce,proto_num,9e-05,0.000119,29
BruteForce,fin_cnt,1.1e-05,3.6e-05,30
BruteForce,var,0.0,0.0,31
BruteForce,ece,0.0,0.0,32
BruteForce,cwr,0.0,0.0,33
BruteForce,rst_cnt,0.0,0.0,34
BruteForce,telnet,0.0,0.0,35
BruteForce,ipv,0.0,0.0,36
BruteForce,llc,0.0,0.0,37
BruteForce,tot_size,0.0,0.0,38
BruteForce,smtp,0.0,0.0,39
DDoS,icmp,0.127908,0.197154,1
DDoS,avg,0.163114,0.169252,2
DDoS,psh,0.051057,0.102388,3
DDoS,fin,0.045276,0.09567,4
DDoS,iat,0.031591,0.062293,5
DDoS,num,0.061743,0.061743,6
DDoS,rate,0.035675,0.054586,7
DDoS,syn_cnt,0.033689,0.050161,8
DDoS,proto_num,0.037901,0.039272,9
DDoS,header_len,0.028405,0.029397,10
DDoS,syn,0.016326,0.029371,11
DDoS,tot_sum,0.023734,0.02409,12
DDoS,udp,0.002261,0.010623,13
DDoS,ttl,0.009118,0.01008,14
DDoS,max,0.002938,0.009065,15
DDoS,ack_cnt,0.005269,0.008806,16
DDoS,std,0.004952,0.008387,17
DDoS,rst,-0.000649,0.008382,18
DDoS,ack,0.004326,0.005563,19
DDoS,arp,0.002258,0.005508,20
DDoS,http,0.001438,0.004783,21
DDoS,https,-0.000342,0.004108,22
DDoS,tcp,0.002908,0.003463,23
DDoS,rst_cnt,0.002108,0.003459,24
DDoS,min,-0.000402,0.001498,25
DDoS,dns,0.000265,0.000771,26
DDoS,dhcp,-0.000108,0.000108,27
DDoS,igmp,1.2e-05,1.2e-05,28
DDoS,ssh,5e-06,5e-06,29
DDoS,var,0.0,0.0,30
DDoS,ece,0.0,0.0,31
DDoS,cwr,0.0,0.0,32
DDoS,fin_cnt,0.0,0.0,33
DDoS,telnet,0.0,0.0,34
DDoS,irc,0.0,0.0,35
DDoS,ipv,0.0,0.0,36
DDoS,llc,0.0,0.0,37
DDoS,tot_size,0.0,0.0,38
DDoS,smtp,0.0,0.0,39
DoS,num,0.238093,0.238093,1
DoS,header_len,0.193235,0.194102,2
DoS,syn,0.065161,0.072736,3
DoS,iat,0.041792,0.061958,4
DoS,avg,0.055479,0.05765,5
DoS,fin,0.053332,0.055009,6
DoS,rate,0.037835,0.048018,7
DoS,psh,0.044763,0.0448,8
DoS,ack,0.043629,0.044215,9
DoS,min,0.018118,0.036207,10
DoS,ttl,0.006032,0.023146,11
DoS,arp,0.009488,0.020336,12
