model,class,precision,recall,f1,support
distilbert,Benign,0.6784363177805801,0.7729885057471264,0.722632639355272,696.0
distilbert,BruteForce,0.5756097560975609,0.5244444444444445,0.5488372093023256,225.0
distilbert,DDoS,0.8506981740064447,0.8181818181818182,0.8341232227488151,3872.0
distilbert,DoS,0.6545632973503435,0.7058201058201058,0.6792260692464358,1890.0
distilbert,Mirai,0.9972144846796658,0.9972144846796658,0.9972144846796658,1077.0
distilbert,Recon,0.6437246963562753,0.5760869565217391,0.6080305927342257,552.0
distilbert,Spoofing,0.8960739030023095,0.8362068965517241,0.8651059085841695,464.0
distilbert,Web,0.3898305084745763,0.4107142857142857,0.4,224.0
distilbert,_accuracy,,,0.7811111111111111,
distilbert,_macro_avg,0.7107688922184696,0.7052071872076138,0.7068962658313637,
distilbert,_weighted_avg,0.7850186879247087,0.7811111111111111,0.7822827896906462,
distilbert,_roc_auc_macro_ovr,,,0.9706421889619588,
distilbert,_train_time_s,,,21977.05821108399,
distilbert,_infer_ms_per_sample,,,10.369715240667574,
distilbert,_infer_ms_per_sample_bs1,,,15.52382020978257,
distilbert,_model_size_mb,,,268.563831,
